Time,InitRow,InitColumn,TotalSites,DamagedSites,CohortsKilled,MeanSeverity,
5, 84, 1036, 1, 0, 0, 0, 
5, 114, 1153, 1, 1, 3, 5, 
5, 149, 1195, 11, 0, 0, 0, 
5, 203, 1296, 0, 0, 0, 0, 
5, 214, 919, 24, 23, 25, 3, 
5, 217, 896, 17, 0, 0, 0, 
5, 240, 1335, 33, 17, 17, 3, 
5, 247, 931, 6, 6, 116, 5, 
5, 264, 1400, 8, 6, 16, 3, 
5, 275, 1088, 2, 1, 5, 3, 
5, 276, 1058, 16, 16, 15, 3, 
5, 284, 934, 18, 12, 8, 2, 
5, 301, 1202, 3, 3, 2, 1, 
5, 303, 1240, 22, 0, 0, 0, 
5, 312, 989, 15, 0, 0, 0, 
5, 315, 1543, 0, 0, 0, 0, 
5, 353, 1204, 3, 0, 0, 0, 
5, 357, 1471, 17, 17, 89, 4, 
5, 399, 1068, 13, 0, 0, 0, 
5, 409, 1634, 21, 16, 3, 1, 
5, 426, 867, 5, 2, 5, 2, 
5, 434, 1385, 1, 0, 0, 0, 
5, 443, 1674, 20, 0, 0, 0, 
5, 454, 1323, 4, 4, 4, 2, 
5, 467, 1350, 101, 1, 16, 5, 
5, 478, 1548, 29, 26, 48, 3, 
5, 484, 1313, 17, 0, 0, 0, 
5, 487, 1041, 6, 0, 0, 0, 
5, 505, 1596, 30, 0, 0, 0, 
5, 540, 1410, 1, 0, 0, 0, 
5, 541, 1010, 51, 0, 0, 0, 
5, 548, 1478, 16, 0, 0, 0, 
5, 549, 1135, 4, 0, 0, 0, 
5, 561, 828, 18, 0, 0, 0, 
5, 561, 939, 21, 16, 6, 1, 
5, 590, 1452, 24, 0, 0, 0, 
5, 600, 795, 5, 0, 0, 0, 
5, 608, 799, 25, 0, 0, 0, 
5, 618, 1201, 4, 4, 9, 3, 
5, 621, 1600, 18, 18, 27, 3, 
5, 650, 1331, 4, 4, 2, 3, 
5, 651, 1843, 22, 0, 0, 0, 
5, 671, 496, 34, 34, 389, 5, 
5, 678, 1738, 20, 0, 0, 0, 
5, 690, 504, 6, 3, 4, 3, 
5, 693, 1117, 6, 0, 0, 0, 
5, 707, 1344, 32, 0, 0, 0, 
5, 709, 1315, 2, 0, 0, 0, 
5, 716, 1274, 3, 0, 0, 0, 
5, 717, 1475, 3, 0, 0, 0, 
5, 723, 804, 8, 0, 0, 0, 
5, 737, 473, 16, 0, 0, 0, 
5, 748, 1610, 4, 1, 3, 2, 
5, 749, 1503, 7, 4, 4, 2, 
5, 752, 1186, 1, 0, 0, 0, 
5, 755, 1405, 21, 19, 3, 1, 
5, 765, 832, 1, 0, 0, 0, 
5, 765, 976, 17, 0, 0, 0, 
5, 772, 777, 9, 0, 0, 0, 
5, 781, 1107, 0, 0, 0, 0, 
5, 783, 1569, 23, 21, 17, 2, 
5, 800, 786, 27, 23, 21, 3, 
5, 801, 1122, 4, 0, 0, 0, 
5, 802, 1140, 7, 0, 0, 0, 
5, 807, 1635, 42, 0, 0, 0, 
5, 823, 877, 15, 0, 0, 0, 
5, 849, 704, 6, 0, 0, 0, 
5, 855, 1430, 17, 0, 0, 0, 
5, 860, 683, 64, 54, 15, 1, 
5, 861, 938, 9, 8, 3, 2, 
5, 883, 1794, 13, 0, 0, 0, 
5, 888, 1206, 20, 0, 0, 0, 
5, 889, 1692, 13, 12, 10, 2, 
5, 895, 1264, 9, 0, 0, 0, 
5, 903, 1532, 26, 25, 19, 3, 
5, 905, 1342, 8, 8, 47, 4, 
5, 914, 683, 1, 0, 0, 0, 
5, 925, 363, 12, 0, 0, 0, 
5, 928, 1167, 6, 0, 0, 0, 
5, 941, 1192, 5, 0, 0, 0, 
5, 945, 1062, 1, 0, 0, 0, 
5, 946, 895, 17, 0, 0, 0, 
5, 948, 1201, 3, 0, 0, 0, 
5, 952, 251, 35, 35, 23, 3, 
5, 959, 269, 47, 0, 0, 0, 
5, 959, 923, 6, 0, 0, 0, 
5, 969, 598, 74, 0, 0, 0, 
5, 972, 1230, 3, 2, 1, 1, 
5, 987, 1292, 14, 0, 0, 0, 
5, 1000, 350, 17, 17, 11, 3, 
5, 1000, 1660, 3, 0, 0, 0, 
5, 1005, 1084, 11, 0, 0, 0, 
5, 1006, 554, 71, 70, 149, 3, 
5, 1012, 1582, 27, 27, 381, 5, 
5, 1020, 1719, 9, 0, 0, 0, 
5, 1023, 298, 4, 0, 0, 0, 
5, 1029, 899, 11, 0, 0, 0, 
5, 1032, 1021, 17, 17, 16, 3, 
5, 1036, 638, 8, 0, 0, 0, 
5, 1037, 1031, 7, 0, 0, 0, 
5, 1053, 1325, 24, 0, 0, 0, 
5, 1059, 1633, 13, 0, 0, 0, 
5, 1062, 536, 8, 0, 0, 0, 
5, 1065, 871, 8, 0, 0, 0, 
5, 1074, 1436, 34, 25, 31, 3, 
5, 1086, 1738, 17, 10, 3, 2, 
5, 1087, 860, 26, 0, 0, 0, 
5, 1090, 809, 30, 30, 367, 5, 
5, 1097, 1038, 54, 0, 0, 0, 
5, 1108, 392, 3, 0, 0, 0, 
5, 1112, 204, 8, 0, 0, 0, 
5, 1113, 1367, 27, 19, 10, 2, 
5, 1119, 1595, 13, 13, 105, 5, 
5, 1123, 1155, 45, 0, 0, 0, 
5, 1138, 1574, 70, 0, 0, 0, 
5, 1152, 1595, 3, 1, 1, 1, 
5, 1163, 259, 17, 11, 2, 1, 
5, 1190, 841, 23, 0, 0, 0, 
5, 1196, 261, 6, 6, 2, 2, 
5, 1200, 444, 0, 0, 0, 0, 
5, 1202, 526, 3, 0, 0, 0, 
5, 1210, 287, 1, 0, 0, 0, 
5, 1212, 283, 20, 17, 7, 2, 
5, 1214, 1004, 6, 0, 0, 0, 
5, 1216, 1317, 11, 11, 4, 2, 
5, 1231, 470, 4, 0, 0, 0, 
5, 1231, 512, 9, 0, 0, 0, 
5, 1233, 693, 8, 3, 9, 4, 
5, 1235, 448, 38, 30, 30, 3, 
5, 1236, 217, 8, 0, 0, 0, 
5, 1236, 932, 4, 0, 0, 0, 
5, 1243, 1419, 7, 6, 1, 1, 
5, 1244, 152, 21, 13, 4, 1.62, 
5, 1246, 562, 7, 7, 100, 5, 
5, 1249, 1311, 7, 6, 5, 3, 
