DecisionOption,RequiredParticipants,ConsequentVariable,ConsequentValue,ConsequentValueReference,ConsequentValueType
MM2-1_DO1,1,PercentOfHarvestArea,0.02,,Double
MM4-1_DO1,1,PercentOfHarvestArea,0.04,,Double
MM5-1_DO1,1,PercentOfHarvestArea,0.01,,Double
MM7-1_DO1,1,PercentOfHarvestArea,0.02,,Double
MM8-1_DO1,1,PercentOfHarvestArea,0.05,,Double
MM9-1_DO1,1,PercentOfHarvestArea,0.02,,Double
MM10-1_DO1,1,PercentOfHarvestArea,0.1,,Double
MM12-1_DO1,1,PercentOfHarvestArea,0.1,,Double
MM14-1_DO1,1,PercentOfHarvestArea,0.12,,Double
MM15-1_DO1,1,PercentOfHarvestArea,4.62,,Double
MM16-1_DO1,1,PercentOfHarvestArea,0.11,,Double
MM18-1_DO1,1,PercentOfHarvestArea,0.05,,Double
MM19-1_DO1,1,PercentOfHarvestArea,0.1,,Double
MM20-1_DO1,1,PercentOfHarvestArea,0.42,,Double
MM21-1_DO1,1,PercentOfHarvestArea,1.43,,Double
MM22-1_DO1,1,PercentOfHarvestArea,1.04,,Double
MM25-1_DO1,1,PercentOfHarvestArea,0.02,,Double
MM26-1_DO1,1,PercentOfHarvestArea,0.04,,Double
MM27-1_DO1,1,PercentOfHarvestArea,0.52,,Double
MM28-1_DO1,1,PercentOfHarvestArea,0.16,,Double
MM32-1_DO1,1,PercentOfHarvestArea,0.07,,Double
MM33-1_DO1,1,PercentOfHarvestArea,0.12,,Double
MM34-1_DO1,1,PercentOfHarvestArea,0.31,,Double
MM35-1_DO1,1,PercentOfHarvestArea,0.3,,Double
