Time,ManagementArea,Prescription,HarvestedSites,TotalCohortsCompleteHarvest,TotalCohortsPartialHarvest,TotalBiomassHarvested,CohortsHarvested_abiebals,CohortsHarvested_acerrubr,CohortsHarvested_acersacc,CohortsHarvested_betualle,CohortsHarvested_betupapy,CohortsHarvested_carycord,CohortsHarvested_caryovat,CohortsHarvested_castdent,CohortsHarvested_fagugran,CohortsHarvested_fraxamer,CohortsHarvested_fraxnigr,CohortsHarvested_fraxpenn,CohortsHarvested_piceglau,CohortsHarvested_picemari,CohortsHarvested_pinubank,CohortsHarvested_pinuresi,CohortsHarvested_pinustro,CohortsHarvested_pinusylv,CohortsHarvested_popubals,CohortsHarvested_popugran,CohortsHarvested_poputrem,CohortsHarvested_prunsero,CohortsHarvested_queralba,CohortsHarvested_quercocc,CohortsHarvested_querelli,CohortsHarvested_querfalc,CohortsHarvested_quermacr,CohortsHarvested_querrubr,CohortsHarvested_quervelu,CohortsHarvested_thujocci,CohortsHarvested_tiliamer,CohortsHarvested_tsugcana,CohortsHarvested_ulmuamer,BiomassHarvestedMg_abiebals,BiomassHarvestedMg_acerrubr,BiomassHarvestedMg_acersacc,BiomassHarvestedMg_betualle,BiomassHarvestedMg_betupapy,BiomassHarvestedMg_carycord,BiomassHarvestedMg_caryovat,BiomassHarvestedMg_castdent,BiomassHarvestedMg_fagugran,BiomassHarvestedMg_fraxamer,BiomassHarvestedMg_fraxnigr,BiomassHarvestedMg_fraxpenn,BiomassHarvestedMg_piceglau,BiomassHarvestedMg_picemari,BiomassHarvestedMg_pinubank,BiomassHarvestedMg_pinuresi,BiomassHarvestedMg_pinustro,BiomassHarvestedMg_pinusylv,BiomassHarvestedMg_popubals,BiomassHarvestedMg_popugran,BiomassHarvestedMg_poputrem,BiomassHarvestedMg_prunsero,BiomassHarvestedMg_queralba,BiomassHarvestedMg_quercocc,BiomassHarvestedMg_querelli,BiomassHarvestedMg_querfalc,BiomassHarvestedMg_quermacr,BiomassHarvestedMg_querrubr,BiomassHarvestedMg_quervelu,BiomassHarvestedMg_thujocci,BiomassHarvestedMg_tiliamer,BiomassHarvestedMg_tsugcana,BiomassHarvestedMg_ulmuamer,
5, 1, MM2-1_DO1, 125, 2125, 0, 47974.715414691, 0, 0, 0, 0, 0, 0, 0, 0, 250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1000, 875, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1591.12115396261, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13352.0368622303, 9044.19969115257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5, 1, MM14-1_DO1, 750, 12778, 0, 317451.344634652, 34, 1016, 0, 0, 310, 0, 0, 0, 0, 0, 0, 0, 3, 6, 6380, 893, 723, 1, 0, 437, 183, 231, 579, 0, 388, 0, 0, 103, 1491, 0, 0, 0, 0, 515.210389244556, 5651.12258889675, 0, 0, 3973.07442667484, 0, 0, 0, 0, 0, 0, 0, 152.298699462414, 61.157414996624, 79950.3647374511, 13339.051245594, 6481.43582158088, 7.0372363448143, 0, 3504.0799276948, 2724.62030550241, 3729.04968671798, 7472.89975016117, 0, 11747.7889436245, 0, 0, 1099.0388738513, 18317.4422695279, 0, 0, 0, 0, 
5, 1, MM16-1_DO1, 688, 277, 12570, 74191.3445792675, 0, 123, 7569, 0, 82, 0, 0, 0, 307, 283, 0, 29, 0, 0, 0, 0, 0, 0, 0, 24, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 4355, 0, 19, 0, 275.157957482338, 57192.3255143403, 0, 1258.7579256773, 0, 0, 0, 824.203540384769, 222.691226911545, 0, 13.1066006422043, 0, 0, 0, 0, 0, 0, 0, 184.016673016548, 0, 701.243462359905, 0, 0, 0, 0, 0, 0, 0, 0, 11615.3114571333, 0, 86.7455322504044, 
5, 1, MM15-1_DO1, 28933, 0, 272773, 663074.157837662, 0, 0, 159516, 0, 0, 0, 0, 0, 32174, 15937, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9784, 0, 0, 0, 0, 0, 14237, 0, 0, 41125, 0, 0, 0, 0, 410551.662616433, 0, 0, 0, 0, 0, 93772.3236427066, 9632.64573198555, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31504.6384236813, 0, 0, 0, 0, 0, 70067.5845732093, 0, 0, 47545.3028496505, 0, 0, 
5, 1, MM18-1_DO1, 313, 6425, 0, 142873.117856574, 0, 760, 23, 2, 1, 0, 0, 0, 8, 11, 0, 10, 1, 0, 17, 235, 303, 0, 0, 276, 42, 1, 1459, 0, 182, 0, 0, 3016, 26, 0, 7, 42, 3, 0, 3351.96270424128, 145.281627118587, 16.2521847963333, 11.9572525858879, 0, 0, 0, 51.902138543129, 67.246943295002, 0, 30.1048534750938, 11.2515125513077, 0, 96.4040887236595, 1249.28084521294, 2199.5900477767, 0, 0, 1770.27830274105, 333.996512365341, 21.6964650630951, 19567.3481987715, 0, 2198.19873170853, 0, 0, 39627.4037616849, 298.991806650162, 0, 60.2500349521637, 310.082007193565, 17.0789088368416, 
5, 1, MM22-1_DO1, 6535, 0, 58570, 183251.852459073, 0, 0, 0, 0, 0, 0, 0, 0, 650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19890, 0, 3399, 0, 0, 28404, 6227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 904.274788308144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49386.1349918484, 0, 11631.1805259108, 0, 0, 101308.235895955, 20022.02625705, 0, 0, 0, 0, 
5, 1, MM19-1_DO1, 625, 3137, 7968, 129951.62274344, 10, 1349, 24, 4, 6, 0, 0, 0, 26, 29, 0, 7, 7, 0, 80, 353, 661, 0, 0, 454, 107, 9, 2788, 0, 429, 0, 0, 4710, 41, 0, 9, 0, 2, 153.690015530586, 6341.73962273598, 271.004173278809, 33.9360136628151, 58.3949468612671, 0, 0, 0, 166.776452171803, 104.89313313961, 0, 21.1318730354309, 68.7390793681145, 0, 429.210925030708, 1883.78146430254, 5135.18629561663, 0, 0, 2605.95515968799, 741.248840320111, 117.03186173439, 31990.4900274873, 0, 3934.3192167759, 0, 0, 57243.441256845, 386.261602926254, 0, 54.2814906597137, 0, 11.5539725661278, 
5, 1, MM20-1_DO1, 2624, 13133, 29108, 515674.604875301, 3, 4548, 110, 10, 20, 0, 0, 0, 15, 43, 4, 13, 81, 2, 1050, 1553, 3991, 0, 0, 1333, 225, 119, 11412, 0, 2751, 0, 0, 9060, 5870, 2, 18, 0, 8, 71.8846635222435, 21873.6058117747, 784.157834422589, 107.070845246315, 197.627373683453, 0, 0, 0, 61.6211870193481, 255.740024530888, 15.324640750885, 91.0001364588737, 915.082692837715, 35.3273297309876, 5677.57775819301, 10946.3102323532, 47797.5343380094, 0, 0, 7085.50896317959, 1422.87272971868, 1434.64850629568, 107253.450439262, 0, 27798.5152060867, 0, 0, 118018.909746754, 64672.1213528395, 21.9384330749512, 144.717035090923, 0, 57.0641227960587, 
5, 1, MM21-1_DO1, 8966, 0, 17741, 28413.5575642229, 67, 3069, 13, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 0, 84, 0, 0, 0, 6, 3210, 494, 0, 0, 0, 2462, 0, 0, 6223, 2070, 0, 34, 0, 0, 35.4684777379036, 665.613672614099, 54.2008346557617, 0, 8.18658440113068, 0, 0, 0, 0, 0, 0, 0, 11.1506925463676, 0, 42.3040740728378, 0, 0, 0, 3.89165219068527, 859.692182123664, 130.904694414139, 0, 0, 0, 9740.18034925459, 0, 0, 8184.66882103678, 8659.02694427967, 0, 18.268584895134, 0, 0, 
5, 1, MM4-1_DO1, 250, 4456, 1953, 97682.0024502754, 323, 784, 2, 1, 1952, 0, 0, 0, 0, 0, 734, 57, 63, 69, 0, 56, 251, 0, 56, 223, 102, 0, 0, 0, 2, 0, 0, 56, 0, 1026, 650, 0, 2, 3345.08677990437, 3329.76213915348, 116.72940171957, 8.32773240804672, 28913.1408527017, 0, 0, 0, 0, 0, 1587.73360179663, 127.05337022543, 2453.33383620977, 1623.76667156219, 0, 3640.97333040237, 1830.7299777031, 0, 761.271693301201, 1461.97072763443, 443.970973753929, 0, 0, 0, 27.423041343689, 0, 0, 521.320081543922, 0, 6680.1318873167, 6428.36417098046, 0, 0.645248031616211, 
