Time,InitRow,InitColumn,TotalSites,DamagedSites,CohortsKilled,MeanSeverity,
5, 188, 1163, 11, 10, 8, 3, 
5, 199, 1019, 17, 16, 7, 2, 
5, 234, 1208, 0, 0, 0, 0, 
5, 252, 1422, 5, 0, 0, 0, 
5, 264, 1042, 3, 0, 0, 0, 
5, 267, 918, 4, 0, 0, 0, 
5, 270, 1262, 10, 0, 0, 0, 
5, 276, 917, 2, 0, 0, 0, 
5, 276, 996, 47, 44, 43, 3, 
5, 302, 1217, 0, 0, 0, 0, 
5, 311, 1477, 1, 0, 0, 0, 
5, 314, 1164, 75, 0, 0, 0, 
5, 322, 1296, 8, 8, 7, 2, 
5, 341, 1453, 20, 0, 0, 0, 
5, 355, 1460, 0, 0, 0, 0, 
5, 383, 1384, 27, 23, 21, 2, 
5, 393, 834, 13, 11, 9, 1.82, 
5, 403, 1623, 21, 0, 0, 0, 
5, 405, 821, 15, 0, 0, 0, 
5, 417, 1277, 4, 4, 14, 4, 
5, 419, 1591, 11, 10, 11, 3, 
5, 431, 966, 3, 1, 4, 3, 
5, 444, 797, 44, 0, 0, 0, 
5, 450, 1312, 21, 19, 22, 3, 
5, 453, 1722, 10, 9, 4, 2, 
5, 471, 1413, 4, 0, 0, 0, 
5, 477, 1231, 8, 0, 0, 0, 
5, 477, 1253, 5, 0, 0, 0, 
5, 479, 1736, 0, 0, 0, 0, 
5, 488, 1136, 25, 21, 6, 1, 
5, 495, 1045, 43, 43, 363, 4, 
5, 498, 1321, 0, 0, 0, 0, 
5, 512, 729, 19, 0, 0, 0, 
5, 515, 728, 5, 0, 0, 0, 
5, 521, 1193, 0, 0, 0, 0, 
5, 525, 1036, 6, 0, 0, 0, 
5, 541, 1295, 5, 2, 4, 2, 
5, 556, 1419, 3, 0, 0, 0, 
5, 563, 1039, 8, 0, 0, 0, 
5, 569, 1152, 24, 0, 0, 0, 
5, 578, 1108, 14, 0, 0, 0, 
5, 583, 1028, 34, 34, 290, 4, 
5, 596, 562, 45, 15, 81, 4, 
5, 598, 1599, 24, 13, 7, 2, 
5, 627, 1319, 29, 0, 0, 0, 
5, 643, 856, 6, 0, 0, 0, 
5, 644, 990, 0, 0, 0, 0, 
5, 664, 1036, 14, 0, 0, 0, 
5, 686, 471, 25, 0, 0, 0, 
5, 687, 1261, 18, 0, 0, 0, 
5, 696, 1705, 18, 15, 11, 1, 
5, 703, 867, 9, 9, 53, 4, 
5, 709, 1034, 22, 22, 31, 3, 
5, 711, 510, 72, 69, 54, 3, 
5, 713, 1425, 11, 11, 7, 3, 
5, 720, 1712, 6, 6, 74, 4.83, 
5, 722, 923, 13, 0, 0, 0, 
5, 723, 1669, 17, 0, 0, 0, 
5, 734, 507, 24, 21, 6, 2, 
5, 754, 1452, 70, 70, 82, 3, 
5, 759, 1210, 10, 10, 84, 5, 
5, 765, 904, 9, 9, 37, 4, 
5, 766, 1220, 26, 26, 2, 2, 
5, 767, 1684, 23, 0, 0, 0, 
5, 780, 1783, 24, 22, 31, 3, 
5, 781, 1224, 3, 3, 10, 3, 
5, 789, 788, 15, 0, 0, 0, 
5, 797, 1219, 3, 0, 0, 0, 
5, 804, 1328, 37, 32, 9, 2, 
5, 809, 1076, 9, 9, 12, 2.67, 
5, 819, 1006, 5, 4, 36, 4, 
5, 825, 840, 0, 0, 0, 0, 
5, 827, 398, 9, 8, 3, 2, 
5, 833, 1238, 22, 1, 5, 4, 
5, 835, 740, 7, 0, 0, 0, 
5, 841, 1088, 7, 6, 4, 2, 
5, 845, 1020, 2, 1, 1, 1, 
5, 847, 460, 18, 18, 258, 5, 
5, 847, 1199, 23, 18, 5, 1.89, 
5, 851, 1583, 27, 0, 0, 0, 
5, 852, 1813, 25, 0, 0, 0, 
5, 855, 364, 4, 4, 6, 3, 
5, 855, 1670, 77, 71, 13, 1, 
5, 856, 734, 2, 1, 3, 3, 
5, 862, 426, 18, 18, 17, 3, 
5, 866, 981, 2, 0, 0, 0, 
5, 867, 1183, 10, 0, 0, 0, 
5, 876, 1699, 1, 0, 0, 0, 
5, 893, 1324, 5, 4, 6, 3, 
5, 894, 958, 8, 4, 2, 2, 
5, 904, 693, 2, 0, 0, 0, 
5, 906, 447, 7, 0, 0, 0, 
5, 910, 1246, 5, 0, 0, 0, 
5, 911, 442, 29, 27, 2, 1.7, 
5, 921, 780, 6, 0, 0, 0, 
5, 923, 949, 27, 27, 6, 2, 
5, 933, 1165, 32, 23, 4, 2, 
5, 946, 1088, 19, 10, 7, 2, 
5, 963, 601, 26, 0, 0, 0, 
5, 972, 699, 26, 0, 0, 0, 
5, 977, 685, 1, 0, 0, 0, 
5, 990, 232, 21, 17, 12, 3, 
5, 990, 340, 16, 16, 10, 3, 
5, 990, 1291, 10, 10, 13, 3, 
5, 992, 1117, 1, 0, 0, 0, 
5, 992, 1527, 14, 13, 14, 3, 
5, 1002, 1269, 2, 0, 0, 0, 
5, 1011, 1225, 28, 20, 15, 3, 
5, 1014, 1703, 10, 0, 0, 0, 
5, 1018, 1025, 11, 11, 107, 5, 
5, 1020, 347, 32, 22, 3, 2, 
5, 1020, 806, 26, 19, 233, 5, 
5, 1021, 1493, 19, 0, 0, 0, 
5, 1039, 1163, 3, 0, 0, 0, 
5, 1048, 1235, 0, 0, 0, 0, 
5, 1057, 1498, 2, 0, 0, 0, 
5, 1061, 1282, 3, 3, 2, 3, 
5, 1066, 1379, 4, 1, 2, 2, 
5, 1072, 1447, 2, 0, 0, 0, 
5, 1077, 835, 13, 0, 0, 0, 
5, 1079, 1087, 0, 0, 0, 0, 
5, 1083, 558, 21, 0, 0, 0, 
5, 1085, 960, 24, 0, 0, 0, 
5, 1086, 1673, 1, 0, 0, 0, 
5, 1089, 1005, 17, 12, 8, 3, 
5, 1102, 1625, 19, 19, 287, 5, 
5, 1103, 1715, 0, 0, 0, 0, 
5, 1106, 475, 3, 0, 0, 0, 
5, 1113, 1693, 52, 0, 0, 0, 
5, 1114, 1498, 1, 1, 13, 5, 
5, 1119, 382, 20, 10, 12, 2, 
5, 1131, 263, 16, 0, 0, 0, 
5, 1131, 286, 2, 0, 0, 0, 
5, 1139, 610, 19, 11, 2, 1, 
5, 1147, 1596, 16, 16, 65, 4, 
5, 1148, 1696, 9, 1, 1, 3, 
5, 1159, 1653, 12, 4, 4, 3, 
5, 1174, 1087, 0, 0, 0, 0, 
5, 1185, 308, 18, 18, 208, 5, 
5, 1194, 1771, 3, 0, 0, 0, 
5, 1231, 1086, 3, 0, 0, 0, 
5, 1233, 1230, 2, 0, 0, 0, 
5, 1242, 1087, 2, 2, 2, 3, 
5, 1255, 197, 17, 15, 6, 2, 
5, 1258, 718, 8, 2, 1, 1, 
5, 1273, 443, 12, 11, 1, 2, 
5, 1285, 108, 22, 21, 11, 2, 
5, 1309, 923, 8, 7, 2, 1, 
5, 1312, 510, 2, 0, 0, 0, 
5, 1314, 137, 38, 36, 13, 1, 
5, 1317, 502, 19, 0, 0, 0, 
5, 1317, 1084, 4, 1, 7, 2, 
5, 1325, 718, 3, 0, 0, 0, 
5, 1326, 1383, 6, 1, 1, 1, 
5, 1336, 864, 5, 0, 0, 0, 
5, 1347, 489, 26, 17, 16, 2, 
5, 1362, 1092, 1, 0, 0, 0, 
5, 1363, 1069, 10, 10, 11, 3, 
5, 1376, 1073, 23, 20, 4, 1, 
5, 1380, 1231, 62, 0, 0, 0, 
5, 1384, 386, 58, 55, 69, 3, 
5, 1387, 493, 9, 3, 6, 3, 
5, 1388, 419, 8, 7, 3, 1, 
5, 1402, 743, 57, 0, 0, 0, 
5, 1410, 967, 30, 26, 16, 1.88, 
5, 1416, 383, 16, 0, 0, 0, 
5, 1422, 441, 0, 0, 0, 0, 
5, 1422, 848, 38, 38, 286, 4, 
5, 1425, 1425, 3, 3, 1, 1, 
5, 1425, 1671, 71, 10, 5, 1, 
5, 1429, 1265, 44, 41, 342, 4, 
5, 1447, 664, 9, 2, 1, 2, 
5, 1447, 960, 14, 3, 2, 2, 
5, 1449, 1142, 1, 1, 3, 5, 
5, 1458, 244, 18, 0, 0, 0, 
5, 1461, 324, 34, 32, 14, 2, 
5, 1465, 1112, 0, 0, 0, 0, 
5, 1471, 711, 13, 0, 0, 0, 
5, 1477, 1238, 6, 0, 0, 0, 
5, 1480, 290, 16, 0, 0, 0, 
5, 1482, 467, 4, 4, 4, 1, 
5, 1494, 307, 0, 0, 0, 0, 
5, 1510, 1472, 14, 0, 0, 0, 
5, 1520, 1438, 11, 0, 0, 0, 
5, 1544, 625, 21, 0, 0, 0, 
5, 1547, 927, 17, 17, 12, 3, 
5, 1561, 401, 1, 0, 0, 0, 
5, 1570, 521, 7, 0, 0, 0, 
5, 1571, 263, 21, 0, 0, 0, 
5, 1593, 75, 5, 0, 0, 0, 
5, 1601, 896, 0, 0, 0, 0, 
5, 1619, 335, 21, 19, 8, 3, 
5, 1625, 742, 5, 0, 0, 0, 
5, 1652, 165, 5, 0, 0, 0, 
5, 1663, 367, 94, 94, 30, 2, 
5, 1672, 641, 11, 11, 20, 3, 
5, 1697, 215, 0, 0, 0, 0, 
5, 1699, 484, 33, 32, 25, 2.94, 
5, 1705, 826, 27, 17, 3, 2, 
5, 1711, 296, 28, 5, 32, 5, 
5, 1722, 656, 1, 0, 0, 0, 
5, 1730, 843, 9, 0, 0, 0, 
5, 1736, 669, 0, 0, 0, 0, 
5, 1740, 304, 15, 5, 9, 3, 
5, 1771, 479, 22, 19, 1, 1, 
5, 1879, 374, 1, 0, 0, 0, 
5, 1931, 275, 2, 0, 0, 0, 
10, 86, 1041, 25, 20, 12, 3, 
10, 116, 1170, 7, 6, 4, 1, 
10, 163, 1133, 13, 13, 31, 3, 
10, 175, 1273, 13, 13, 12, 3, 
10, 186, 1334, 5, 4, 7, 1.25, 
10, 199, 1289, 2, 2, 2, 3, 
10, 216, 1300, 1, 1, 7, 5, 
10, 245, 921, 27, 19, 4, 1.47, 
10, 285, 1249, 55, 9, 7, 2.67, 
10, 296, 1161, 27, 24, 181, 4, 
10, 301, 1232, 3, 3, 1, 3, 
10, 301, 1423, 7, 0, 0, 0, 
10, 335, 1152, 8, 0, 0, 0, 
10, 335, 1526, 3, 0, 0, 0, 
10, 339, 1186, 3, 1, 4, 2, 
10, 354, 1432, 5, 0, 0, 0, 
10, 363, 1284, 32, 32, 42, 3, 
10, 439, 1417, 1, 1, 19, 5, 
10, 467, 878, 7, 5, 1, 1, 
10, 469, 986, 59, 46, 34, 1.98, 
10, 473, 1094, 6, 6, 8, 3, 
10, 482, 783, 9, 3, 1, 1, 
10, 499, 1576, 25, 4, 32, 5, 
10, 506, 1324, 4, 4, 3, 1, 
10, 507, 967, 21, 21, 12, 1, 
10, 519, 990, 13, 13, 10, 2, 
10, 519, 1026, 11, 0, 0, 0, 
10, 519, 1264, 3, 0, 0, 0, 
10, 526, 922, 2, 2, 40, 5, 
10, 534, 1694, 1, 0, 0, 0, 
10, 544, 967, 8, 0, 0, 0, 
10, 559, 1172, 4, 0, 0, 0, 
10, 560, 1037, 3, 0, 0, 0, 
10, 567, 1266, 11, 9, 3, 1, 
10, 573, 1147, 49, 49, 11, 1.86, 
10, 574, 1294, 1, 0, 0, 0, 
10, 574, 1789, 6, 6, 6, 2, 
10, 578, 795, 18, 13, 6, 1, 
10, 578, 1450, 17, 16, 9, 1.81, 
10, 588, 1219, 1, 0, 0, 0, 
10, 592, 1650, 14, 0, 0, 0, 
10, 598, 887, 61, 56, 13, 1, 
10, 600, 1397, 8, 0, 0, 0, 
10, 600, 1512, 36, 34, 22, 2, 
10, 603, 1453, 18, 0, 0, 0, 
10, 611, 1291, 14, 0, 0, 0, 
10, 615, 1703, 46, 11, 189, 5, 
10, 617, 867, 1, 0, 0, 0, 
10, 618, 1284, 19, 0, 0, 0, 
10, 625, 1193, 4, 0, 0, 0, 
10, 625, 1247, 11, 0, 0, 0, 
10, 626, 1674, 8, 3, 6, 2, 
10, 644, 1270, 0, 0, 0, 0, 
10, 644, 1506, 3, 0, 0, 0, 
10, 646, 1265, 18, 0, 0, 0, 
10, 662, 1320, 51, 51, 10, 1, 
10, 669, 1740, 12, 12, 128, 5, 
10, 681, 1328, 33, 31, 16, 2, 
10, 683, 1734, 5, 0, 0, 0, 
10, 702, 1429, 19, 0, 0, 0, 
10, 716, 1313, 7, 1, 1, 1, 
10, 716, 1623, 14, 5, 3, 3, 
10, 720, 1245, 16, 1, 1, 1, 
10, 720, 1384, 6, 0, 0, 0, 
10, 723, 814, 19, 0, 0, 0, 
10, 747, 1473, 27, 0, 0, 0, 
10, 750, 910, 75, 0, 0, 0, 
10, 764, 372, 1, 0, 0, 0, 
10, 768, 1456, 10, 0, 0, 0, 
10, 772, 1797, 4, 0, 0, 0, 
10, 778, 944, 39, 0, 0, 0, 
10, 793, 863, 5, 0, 0, 0, 
10, 807, 1336, 3, 0, 0, 0, 
10, 821, 1205, 24, 16, 15, 2, 
10, 823, 1004, 17, 2, 6, 3, 
10, 831, 642, 2, 2, 19, 4, 
10, 834, 1608, 12, 12, 184, 5, 
10, 835, 1810, 14, 9, 11, 3, 
10, 846, 1160, 21, 21, 36, 3, 
10, 848, 1378, 7, 0, 0, 0, 
10, 849, 636, 21, 0, 0, 0, 
10, 851, 1011, 9, 0, 0, 0, 
10, 860, 918, 0, 0, 0, 0, 
10, 880, 441, 8, 7, 66, 4, 
10, 891, 482, 32, 0, 0, 0, 
10, 892, 1293, 12, 8, 2, 2, 
10, 893, 227, 5, 5, 6, 3, 
10, 905, 907, 17, 0, 0, 0, 
10, 905, 921, 16, 0, 0, 0, 
10, 934, 1551, 7, 1, 2, 1, 
10, 938, 613, 1, 0, 0, 0, 
10, 940, 1106, 0, 0, 0, 0, 
10, 944, 862, 14, 5, 57, 5, 
10, 944, 1785, 44, 0, 0, 0, 
10, 946, 590, 19, 0, 0, 0, 
10, 946, 1505, 2, 0, 0, 0, 
10, 947, 1478, 48, 28, 13, 3, 
10, 956, 1011, 5, 0, 0, 0, 
10, 964, 1000, 8, 0, 0, 0, 
10, 965, 1639, 13, 11, 9, 3, 
10, 969, 1195, 12, 2, 3, 1, 
10, 974, 1615, 4, 1, 2, 3, 
10, 977, 1708, 20, 17, 9, 1.71, 
10, 985, 1813, 4, 0, 0, 0, 
10, 986, 1194, 37, 33, 25, 3, 
10, 986, 1472, 23, 0, 0, 0, 
10, 986, 1664, 20, 1, 1, 1, 
10, 989, 267, 2, 0, 0, 0, 
10, 999, 1011, 1, 0, 0, 0, 
10, 1004, 690, 16, 0, 0, 0, 
10, 1007, 1238, 34, 31, 4, 1, 
10, 1018, 1073, 4, 0, 0, 0, 
10, 1028, 1407, 0, 0, 0, 0, 
10, 1029, 1221, 4, 0, 0, 0, 
10, 1030, 597, 30, 0, 0, 0, 
10, 1031, 344, 11, 10, 3, 1.5, 
10, 1037, 1111, 11, 11, 4, 1.73, 
10, 1038, 1393, 22, 21, 16, 2, 
10, 1041, 1283, 11, 0, 0, 0, 
10, 1049, 577, 36, 28, 5, 1, 
10, 1049, 1686, 9, 1, 1, 2, 
10, 1052, 668, 2, 1, 3, 1, 
10, 1054, 457, 9, 0, 0, 0, 
10, 1056, 632, 10, 10, 88, 4, 
10, 1066, 1735, 39, 38, 7, 1, 
10, 1076, 463, 18, 0, 0, 0, 
10, 1076, 1680, 15, 0, 0, 0, 
10, 1087, 580, 9, 0, 0, 0, 
10, 1095, 510, 5, 0, 0, 0, 
10, 1095, 793, 5, 0, 0, 0, 
10, 1097, 1376, 27, 0, 0, 0, 
10, 1103, 587, 49, 49, 75, 3, 
10, 1111, 207, 26, 4, 3, 3, 
10, 1114, 1652, 70, 0, 0, 0, 
10, 1118, 665, 1, 0, 0, 0, 
10, 1124, 1552, 39, 36, 22, 1.86, 
10, 1124, 1566, 1, 0, 0, 0, 
10, 1131, 825, 64, 0, 0, 0, 
10, 1133, 732, 9, 0, 0, 0, 
10, 1137, 778, 4, 4, 33, 4, 
10, 1138, 749, 24, 22, 32, 2.82, 
10, 1158, 1491, 1, 1, 6, 4, 
10, 1169, 1601, 5, 0, 0, 0, 
10, 1171, 646, 10, 8, 73, 4, 
10, 1173, 399, 1, 0, 0, 0, 
10, 1179, 706, 8, 0, 0, 0, 
10, 1180, 291, 18, 15, 27, 3, 
