Time,ManagementArea,Prescription,HarvestedSites,TotalCohortsCompleteHarvest,TotalCohortsPartialHarvest,TotalBiomassHarvested,CohortsHarvested_abiebals,CohortsHarvested_acerrubr,CohortsHarvested_acersacc,CohortsHarvested_betualle,CohortsHarvested_betupapy,CohortsHarvested_carycord,CohortsHarvested_caryovat,CohortsHarvested_castdent,CohortsHarvested_fagugran,CohortsHarvested_fraxamer,CohortsHarvested_fraxnigr,CohortsHarvested_fraxpenn,CohortsHarvested_piceglau,CohortsHarvested_picemari,CohortsHarvested_pinubank,CohortsHarvested_pinuresi,CohortsHarvested_pinustro,CohortsHarvested_pinusylv,CohortsHarvested_popubals,CohortsHarvested_popugran,CohortsHarvested_poputrem,CohortsHarvested_prunsero,CohortsHarvested_queralba,CohortsHarvested_quercocc,CohortsHarvested_querelli,CohortsHarvested_querfalc,CohortsHarvested_quermacr,CohortsHarvested_querrubr,CohortsHarvested_quervelu,CohortsHarvested_thujocci,CohortsHarvested_tiliamer,CohortsHarvested_tsugcana,CohortsHarvested_ulmuamer,BiomassHarvestedMg_abiebals,BiomassHarvestedMg_acerrubr,BiomassHarvestedMg_acersacc,BiomassHarvestedMg_betualle,BiomassHarvestedMg_betupapy,BiomassHarvestedMg_carycord,BiomassHarvestedMg_caryovat,BiomassHarvestedMg_castdent,BiomassHarvestedMg_fagugran,BiomassHarvestedMg_fraxamer,BiomassHarvestedMg_fraxnigr,BiomassHarvestedMg_fraxpenn,BiomassHarvestedMg_piceglau,BiomassHarvestedMg_picemari,BiomassHarvestedMg_pinubank,BiomassHarvestedMg_pinuresi,BiomassHarvestedMg_pinustro,BiomassHarvestedMg_pinusylv,BiomassHarvestedMg_popubals,BiomassHarvestedMg_popugran,BiomassHarvestedMg_poputrem,BiomassHarvestedMg_prunsero,BiomassHarvestedMg_queralba,BiomassHarvestedMg_quercocc,BiomassHarvestedMg_querelli,BiomassHarvestedMg_querfalc,BiomassHarvestedMg_quermacr,BiomassHarvestedMg_querrubr,BiomassHarvestedMg_quervelu,BiomassHarvestedMg_thujocci,BiomassHarvestedMg_tiliamer,BiomassHarvestedMg_tsugcana,BiomassHarvestedMg_ulmuamer,
5, 1, MM2-1_DO1, 125, 2125, 0, 48434.4546372175, 0, 0, 0, 0, 0, 0, 0, 0, 250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1000, 875, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1604.61087062359, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13481.4897485733, 9131.12669941186, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5, 1, MM14-1_DO1, 750, 12783, 0, 317917.496009493, 34, 1020, 0, 0, 310, 0, 0, 0, 0, 0, 0, 0, 3, 6, 6372, 901, 723, 1, 0, 439, 185, 229, 579, 0, 387, 0, 0, 103, 1491, 0, 0, 0, 0, 515.210389244556, 5675.23873407841, 0, 0, 3973.07442667484, 0, 0, 0, 0, 0, 0, 0, 152.298699462414, 61.157414996624, 79986.4784632207, 13489.9989569902, 6481.43582158088, 7.0372363448143, 0, 3505.14861974716, 2786.88674055338, 3693.8836689949, 7472.89975016117, 0, 11741.5179393172, 0, 0, 1099.0388738513, 18317.4422695279, 0, 0, 0, 0, 
5, 1, MM16-1_DO1, 688, 277, 12570, 74206.5482360124, 0, 123, 7569, 0, 82, 0, 0, 0, 307, 283, 0, 29, 0, 0, 0, 0, 0, 0, 0, 24, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 4355, 0, 19, 0, 275.157957482338, 57194.2007664322, 0, 1258.7579256773, 0, 0, 0, 824.203540384769, 222.691226911545, 0, 13.1066006422043, 0, 0, 0, 0, 0, 0, 0, 184.016673016548, 0, 701.243462359905, 0, 0, 0, 0, 0, 0, 0, 0, 11628.6398617864, 0, 86.7455322504044, 
5, 1, MM15-1_DO1, 28883, 0, 272018, 661219.009254762, 0, 0, 159162, 0, 0, 0, 0, 0, 32224, 16005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9709, 0, 0, 0, 0, 0, 14298, 0, 0, 40620, 0, 0, 0, 0, 408568.512955262, 0, 0, 0, 0, 0, 94201.1917797204, 9633.43212802408, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31210.5263052702, 0, 0, 0, 0, 0, 70526.6180557011, 0, 0, 47078.7280307889, 0, 0, 
5, 1, MM18-1_DO1, 313, 6495, 0, 140437.750145245, 8, 695, 19, 0, 1, 0, 0, 0, 8, 17, 0, 7, 0, 0, 22, 257, 262, 0, 0, 287, 18, 2, 1640, 0, 188, 0, 0, 2954, 40, 0, 13, 55, 2, 105.09477314949, 3048.21219335794, 107.474125266075, 0, 11.9572525858879, 0, 0, 0, 45.5101502299309, 55.7736267328262, 0, 21.1318730354309, 0, 0, 129.936822366714, 1371.91829922199, 1878.23636403084, 0, 0, 1484.91736075878, 126.488778197765, 13.8728326797485, 21721.3676043153, 0, 2230.3603132844, 0, 0, 37001.183781004, 347.97016505003, 0, 90.7783324480057, 415.33809235096, 11.3523325562477, 
5, 1, MM22-1_DO1, 6515, 0, 57869, 183268.649071896, 0, 0, 0, 0, 0, 0, 0, 0, 673, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19287, 0, 3310, 0, 0, 28196, 6403, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 830.293068683148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47879.1783780098, 0, 11027.8736163497, 0, 0, 103240.592438638, 20290.7115702152, 0, 0, 0, 0, 
5, 1, MM19-1_DO1, 625, 3182, 7913, 131148.658662093, 2, 1390, 20, 6, 3, 0, 0, 0, 39, 23, 0, 7, 7, 0, 127, 338, 679, 0, 0, 406, 119, 8, 2801, 0, 421, 0, 0, 4654, 37, 0, 6, 0, 2, 48.5952423810959, 6389.40732107162, 241.605059838295, 50.1881984591484, 34.4199496865273, 0, 0, 0, 249.368200218677, 103.663129079342, 0, 21.9989250779152, 69.2835073947906, 0, 675.736001110077, 1799.93954819441, 4985.75088429451, 0, 0, 2247.64086213112, 846.867877495289, 111.789221477509, 32807.8781355381, 0, 3583.86887960434, 0, 0, 58543.7571885586, 356.640685474873, 0, 40.2271819710732, 0, 11.7757765769958, 
5, 1, MM20-1_DO1, 2624, 13139, 29158, 511997.981591153, 5, 4586, 96, 10, 20, 0, 0, 0, 10, 42, 4, 13, 84, 2, 975, 1571, 4031, 0, 2, 1325, 230, 115, 11377, 0, 2695, 0, 0, 9019, 6057, 3, 16, 0, 9, 94.9926086544991, 21998.1185178757, 573.766648113728, 107.070845246315, 193.271949470043, 0, 0, 0, 46.9216302990913, 253.582476425171, 15.324640750885, 86.7858602523804, 978.296835935115, 35.3273297309876, 5213.60409545898, 10978.0483699083, 48380.8385585904, 0, 26.9995973229408, 7038.70831688642, 1470.45977205038, 1368.45009105206, 106392.407269073, 0, 27305.4448899269, 0, 0, 114939.725647879, 65209.8750951886, 28.1892733812332, 141.228662919998, 0, 68.7390793681145, 
5, 1, MM21-1_DO1, 8935, 0, 17582, 28587.0687927247, 65, 3037, 7, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 0, 83, 0, 0, 0, 8, 3101, 492, 0, 0, 0, 2424, 0, 0, 6215, 2108, 0, 26, 0, 2, 34.3191296815872, 671.441068899633, 31.8389575600624, 0, 22.4626971006393, 0, 0, 0, 0, 0, 0, 0, 4.53690022230148, 0, 45.852938246727, 0, 0, 0, 7.09772834777832, 840.354905176166, 131.388630437851, 0, 0, 0, 9637.1221402049, 0, 0, 8144.74409908053, 9000.64544901848, 0, 15.163328742981, 0, 0.100820004940033, 
5, 1, MM4-1_DO1, 251, 4523, 1952, 98717.1819329977, 342, 773, 2, 1, 1951, 0, 0, 0, 0, 0, 749, 54, 71, 71, 0, 53, 280, 0, 50, 212, 95, 0, 0, 0, 0, 0, 0, 53, 0, 1016, 700, 0, 2, 3561.00290248394, 3319.09538263083, 116.72940171957, 8.32773240804672, 28448.0380059123, 0, 0, 0, 0, 0, 1630.84423590899, 122.49630600214, 2697.35857616663, 1494.05165320635, 0, 3628.18935377598, 2024.14307518005, 0, 682.390121436119, 1445.92018284798, 406.586915922165, 0, 0, 0, 0, 0, 0, 509.826600980759, 0, 6553.48179711103, 6937.64634393454, 0, 0.645248031616211, 
