Time,InitRow,InitColumn,TotalSites,DamagedSites,CohortsKilled,MeanSeverity,
5, 123, 1095, 22, 21, 6, 2, 
5, 195, 1276, 9, 8, 1, 1, 
5, 198, 1098, 7, 7, 14, 3, 
5, 204, 1129, 5, 4, 2, 3, 
5, 228, 1102, 0, 0, 0, 0, 
5, 250, 1305, 9, 7, 9, 2, 
5, 284, 1387, 1, 0, 0, 0, 
5, 289, 1291, 2, 2, 7, 3, 
5, 374, 1488, 23, 0, 0, 0, 
5, 375, 1189, 12, 0, 0, 0, 
5, 377, 1347, 27, 6, 94, 5, 
5, 393, 839, 1, 0, 0, 0, 
5, 397, 1636, 14, 13, 20, 3, 
5, 399, 845, 12, 3, 3, 1, 
5, 403, 831, 5, 0, 0, 0, 
5, 426, 1565, 19, 0, 0, 0, 
5, 429, 962, 10, 3, 3, 1, 
5, 441, 1058, 13, 4, 1, 1, 
5, 445, 1207, 19, 0, 0, 0, 
5, 448, 1040, 33, 0, 0, 0, 
5, 452, 736, 14, 12, 11, 2, 
5, 452, 1107, 23, 2, 1, 1, 
5, 468, 1467, 1, 0, 0, 0, 
5, 468, 1625, 24, 23, 6, 1, 
5, 487, 1261, 13, 13, 65, 4, 
5, 494, 1807, 38, 0, 0, 0, 
5, 498, 1581, 17, 0, 0, 0, 
5, 502, 1650, 7, 7, 108, 5, 
5, 508, 1805, 1, 0, 0, 0, 
5, 511, 929, 1, 1, 12, 5, 
5, 516, 1501, 44, 0, 0, 0, 
5, 526, 1718, 33, 0, 0, 0, 
5, 528, 1039, 14, 14, 22, 3, 
5, 539, 810, 18, 18, 19, 3, 
5, 544, 1763, 19, 0, 0, 0, 
5, 546, 1614, 7, 5, 4, 1, 
5, 547, 585, 39, 0, 0, 0, 
5, 568, 1551, 4, 0, 0, 0, 
5, 584, 1336, 15, 13, 1, 3, 
5, 598, 1802, 18, 2, 1, 1, 
5, 599, 1047, 24, 1, 3, 1, 
5, 618, 1032, 28, 2, 3, 4, 
5, 622, 959, 10, 10, 19, 3, 
5, 631, 1642, 28, 27, 16, 1, 
5, 636, 1235, 16, 12, 6, 1, 
5, 641, 1271, 1, 0, 0, 0, 
5, 669, 516, 8, 0, 0, 0, 
5, 682, 1136, 0, 0, 0, 0, 
5, 688, 924, 3, 0, 0, 0, 
5, 692, 1204, 13, 0, 0, 0, 
5, 702, 517, 50, 0, 0, 0, 
5, 744, 1021, 10, 0, 0, 0, 
5, 747, 470, 40, 40, 23, 2, 
5, 752, 867, 6, 1, 1, 1, 
5, 755, 1347, 29, 21, 4, 1, 
5, 760, 1507, 27, 27, 337, 5, 
5, 761, 1710, 0, 0, 0, 0, 
5, 765, 1518, 48, 45, 15, 1.82, 
5, 767, 1507, 1, 0, 0, 0, 
5, 767, 1773, 10, 9, 5, 2, 
5, 808, 686, 15, 0, 0, 0, 
5, 830, 945, 3, 0, 0, 0, 
5, 834, 1848, 11, 10, 7, 3, 
5, 838, 1394, 10, 0, 0, 0, 
5, 842, 1034, 4, 0, 0, 0, 
5, 848, 971, 25, 0, 0, 0, 
5, 850, 303, 12, 11, 4, 2, 
5, 853, 859, 4, 0, 0, 0, 
5, 861, 615, 7, 0, 0, 0, 
5, 864, 1607, 5, 4, 4, 1, 
5, 880, 813, 8, 7, 21, 3, 
5, 882, 329, 36, 0, 0, 0, 
5, 890, 939, 3, 3, 2, 1.33, 
5, 900, 829, 4, 0, 0, 0, 
5, 911, 1361, 6, 0, 0, 0, 
5, 918, 606, 33, 33, 16, 1, 
5, 920, 671, 2, 0, 0, 0, 
5, 945, 1112, 9, 3, 6, 3, 
5, 954, 1436, 11, 0, 0, 0, 
5, 956, 684, 24, 24, 15, 1, 
5, 965, 400, 9, 7, 3, 1, 
5, 970, 1606, 2, 2, 14, 4, 
5, 979, 1672, 6, 0, 0, 0, 
5, 982, 1610, 1, 0, 0, 0, 
5, 989, 1549, 1, 0, 0, 0, 
5, 1000, 1630, 0, 0, 0, 0, 
5, 1001, 861, 1, 1, 1, 1, 
5, 1003, 1541, 11, 0, 0, 0, 
5, 1014, 1389, 3, 0, 0, 0, 
5, 1020, 716, 7, 7, 39, 4, 
5, 1021, 1670, 8, 0, 0, 0, 
5, 1026, 325, 4, 0, 0, 0, 
5, 1029, 1025, 18, 18, 15, 3, 
5, 1035, 241, 2, 2, 18, 5, 
5, 1037, 1716, 2, 0, 0, 0, 
5, 1038, 870, 14, 0, 0, 0, 
5, 1038, 1202, 5, 1, 1, 3, 
5, 1040, 1723, 63, 40, 13, 2, 
5, 1043, 444, 22, 19, 3, 1, 
5, 1054, 750, 36, 36, 44, 3, 
5, 1054, 973, 29, 28, 14, 3, 
5, 1059, 989, 50, 0, 0, 0, 
5, 1067, 1346, 12, 12, 6, 2, 
5, 1067, 1596, 9, 0, 0, 0, 
5, 1074, 937, 7, 0, 0, 0, 
5, 1085, 1229, 2, 0, 0, 0, 
5, 1092, 250, 11, 0, 0, 0, 
5, 1096, 1591, 14, 0, 0, 0, 
5, 1098, 1782, 41, 0, 0, 0, 
5, 1102, 406, 0, 0, 0, 0, 
5, 1103, 572, 0, 0, 0, 0, 
5, 1105, 543, 7, 0, 0, 0, 
5, 1116, 1783, 5, 1, 3, 3, 
5, 1134, 868, 11, 10, 10, 3, 
5, 1146, 1813, 6, 0, 0, 0, 
5, 1147, 827, 2, 2, 3, 3, 
5, 1148, 527, 11, 0, 0, 0, 
5, 1149, 1263, 17, 6, 10, 3, 
5, 1158, 381, 7, 0, 0, 0, 
5, 1160, 1775, 13, 9, 1, 2, 
5, 1174, 365, 9, 0, 0, 0, 
5, 1184, 621, 13, 11, 2, 2, 
5, 1196, 1765, 7, 0, 0, 0, 
5, 1200, 1535, 12, 10, 9, 2, 
5, 1201, 840, 4, 0, 0, 0, 
5, 1204, 1759, 4, 0, 0, 0, 
5, 1214, 199, 8, 0, 0, 0, 
5, 1214, 487, 3, 0, 0, 0, 
5, 1215, 910, 10, 10, 3, 3, 
5, 1219, 429, 17, 15, 9, 3, 
5, 1219, 1059, 10, 4, 1, 1, 
5, 1225, 1604, 3, 3, 10, 3, 
5, 1235, 302, 20, 20, 3, 3, 
5, 1237, 1445, 7, 1, 2, 2, 
5, 1244, 1235, 31, 0, 0, 0, 
