Time,EcoName,ActiveCount,AvgLiveB,AvgAG_NPP,AvgLitterB,AvgWoodLitterB,AvgDefoliation,
5, Eco1036, 22976, 7245.53743036212, 256.166997538891, 151.45438718663, 746.323163300836, 0, 
5, Eco1064, 31400, 8769.36687898089, 317.161083288194, 192.526878980892, 910.006082802548, 0, 
5, Eco1072, 24468, 9110.4905590976, 329.610821725394, 199.103359489946, 962.682728461664, 0, 
5, Eco1078, 43371, 9396.60694934403, 328.022756632816, 186.13700398884, 991.434091904729, 0, 
5, Eco1083, 29065, 9569.58568725271, 331.782078278834, 183.722277653535, 1026.09468432823, 0, 
5, Eco1090, 17774, 9930.40463598515, 346.277665551701, 192.789861595589, 1057.20091144368, 0, 
5, Eco1102, 28203, 10124.7281140304, 347.714325642064, 190.248306917704, 1112.23937169805, 0, 
5, Eco1133, 32205, 10661.2531283962, 379.339385386632, 205.938425710293, 1177.76460176991, 0, 
5, Eco1226, 23275, 12970.2908270677, 483.759005362351, 272.601976369495, 1552.98754027927, 0, 
5, Eco1441, 19294, 15631.5634394112, 573.510608920455, 337.019384264538, 2083.99942987457, 0, 
5, Eco2036, 20223, 7553.37749097562, 259.352970255035, 148.072096128171, 752.905553083123, 0, 
5, Eco2064, 44285, 9115.56700914531, 325.971042316113, 196.000812916337, 908.052478265779, 0, 
5, Eco2072, 19716, 9467.74122540069, 330.045370736374, 187.66844187462, 964.780888618381, 0, 
5, Eco2078, 29673, 9784.91699524821, 337.282770553978, 191.179927880565, 993.90779496512, 0, 
5, Eco2083, 40707, 10070.8873166777, 335.365140541241, 187.759574520353, 999.469108507136, 0, 
5, Eco2090, 19188, 10286.7074734209, 353.969731890145, 200.671617677715, 1060.96002710027, 0, 
5, Eco2102, 26949, 10760.2026420275, 349.444670860894, 185.602397120487, 1103.93528516828, 0, 
5, Eco2133, 29721, 11205.9406480266, 383.100509931105, 207.159920594866, 1164.54813095118, 0, 
5, Eco2226, 18597, 13731.8189492929, 510.548644906327, 293.305963327418, 1666.24901865892, 0, 
5, Eco2441, 21704, 16127.5705860671, 594.920049373666, 350.24824917066, 2157.53483228898, 0, 
5, Eco3036, 44627, 8244.44594079817, 272.144232457149, 149.052972415802, 823.018777869899, 0, 
5, Eco3064, 49056, 9969.01174168297, 328.922439384487, 177.324241682975, 972.25207925636, 0, 
5, Eco3072, 78331, 10205.2447306941, 338.757070329843, 185.485593187882, 1003.08160243071, 0, 
5, Eco3078, 18625, 10331.3364832215, 341.217579391813, 180.037046979866, 1013.0650738255, 0, 
5, Eco3083, 29143, 10404.4419929314, 349.156405114803, 184.967848196823, 1051.03860275195, 0, 
5, Eco3090, 21037, 10514.1097589961, 357.307499109274, 186.838475067738, 1097.49698150877, 0, 
5, Eco3102, 15890, 10569.5970421649, 359.107608618792, 186.357142857143, 1109.29628697294, 0, 
5, Eco3133, 13632, 11267.1332159624, 390.983714468406, 201.718896713615, 1159.79085974178, 0, 
5, Eco3226, 16171, 12929.696926597, 477.356986990816, 252.223919361821, 1466.18026096098, 0, 
5, Eco3441, 19879, 15272.9954726093, 580.148648546263, 319.542532320539, 1913.09416972685, 0, 
5, Eco4036, 172, 6650.02906976744, 248.275356321703, 136.639534883721, 687.697674418605, 0, 
5, Eco4064, 5858, 8746.04574940253, 323.312901697678, 185.96671218846, 897.646295664049, 0, 
5, Eco4072, 1440, 9125.94305555556, 322.327754072477, 172.930555555556, 921.238194444444, 0, 
5, Eco4078, 8585, 9750.83517763541, 323.358594891219, 171.338613861386, 963.00920209668, 0, 
5, Eco4083, 5379, 10080.6519799219, 332.874775354809, 177.878787878788, 999.787692879717, 0, 
5, Eco4090, 8814, 10379.1335375539, 333.694736778674, 171.211935557068, 1029.07635579759, 0, 
