Time,InitRow,InitColumn,TotalSites,DamagedSites,CohortsKilled,MeanSeverity,
5, 176, 982, 21, 10, 2, 1, 
5, 207, 1363, 2, 2, 21, 5, 
5, 264, 1380, 15, 0, 0, 0, 
5, 295, 1018, 15, 15, 4, 2, 
5, 310, 992, 41, 40, 33, 3, 
5, 331, 1202, 13, 0, 0, 0, 
5, 342, 996, 6, 6, 5, 3, 
5, 342, 1549, 21, 21, 15, 2, 
5, 343, 1189, 15, 8, 13, 2, 
5, 356, 1549, 46, 46, 613, 5, 
5, 376, 1040, 2, 0, 0, 0, 
5, 378, 946, 10, 0, 0, 0, 
5, 382, 1305, 13, 11, 128, 5, 
5, 387, 1088, 2, 0, 0, 0, 
5, 406, 1276, 9, 0, 0, 0, 
5, 419, 1499, 46, 0, 0, 0, 
5, 427, 1093, 9, 0, 0, 0, 
5, 444, 736, 6, 6, 3, 3, 
5, 459, 927, 4, 0, 0, 0, 
5, 474, 1344, 21, 0, 0, 0, 
5, 482, 952, 1, 1, 2, 1, 
5, 486, 1558, 12, 0, 0, 0, 
5, 493, 1012, 5, 0, 0, 0, 
5, 500, 855, 0, 0, 0, 0, 
5, 549, 812, 59, 0, 0, 0, 
5, 554, 1251, 4, 4, 49, 5, 
5, 559, 1413, 17, 0, 0, 0, 
5, 564, 1003, 11, 11, 137, 5, 
5, 565, 1786, 0, 0, 0, 0, 
5, 567, 1561, 0, 0, 0, 0, 
5, 576, 1754, 26, 24, 32, 3, 
5, 585, 902, 1, 0, 0, 0, 
5, 586, 1454, 7, 4, 2, 1, 
5, 591, 1474, 1, 0, 0, 0, 
5, 604, 1471, 2, 0, 0, 0, 
5, 612, 1511, 0, 0, 0, 0, 
5, 625, 967, 1, 1, 8, 4, 
5, 625, 1566, 10, 10, 5, 3, 
5, 632, 1665, 21, 20, 127, 4, 
5, 654, 1852, 6, 6, 5, 1, 
5, 662, 1412, 17, 14, 4, 1.93, 
5, 693, 1642, 25, 0, 0, 0, 
5, 694, 414, 15, 0, 0, 0, 
5, 700, 1652, 36, 0, 0, 0, 
5, 726, 1193, 60, 60, 339, 4, 
5, 759, 1102, 43, 42, 39, 3, 
5, 761, 1262, 0, 0, 0, 0, 
5, 764, 1350, 51, 51, 8, 1, 
5, 764, 1788, 7, 0, 0, 0, 
5, 767, 887, 11, 11, 12, 3, 
5, 774, 1331, 3, 0, 0, 0, 
5, 776, 1655, 5, 0, 0, 0, 
5, 782, 523, 10, 0, 0, 0, 
5, 790, 1555, 2, 2, 30, 5, 
5, 804, 1206, 9, 0, 0, 0, 
5, 810, 1801, 0, 0, 0, 0, 
5, 810, 1818, 1, 0, 0, 0, 
5, 814, 1545, 0, 0, 0, 0, 
5, 818, 1435, 7, 0, 0, 0, 
5, 818, 1663, 17, 15, 9, 1, 
5, 836, 1029, 30, 28, 55, 3, 
5, 841, 1674, 26, 0, 0, 0, 
