Time,ManagementArea,Prescription,HarvestedSites,TotalCohortsCompleteHarvest,TotalCohortsPartialHarvest,TotalBiomassHarvested,CohortsHarvested_abiebals,CohortsHarvested_acerrubr,CohortsHarvested_acersacc,CohortsHarvested_betualle,CohortsHarvested_betupapy,CohortsHarvested_carycord,CohortsHarvested_caryovat,CohortsHarvested_castdent,CohortsHarvested_fagugran,CohortsHarvested_fraxamer,CohortsHarvested_fraxnigr,CohortsHarvested_fraxpenn,CohortsHarvested_piceglau,CohortsHarvested_picemari,CohortsHarvested_pinubank,CohortsHarvested_pinuresi,CohortsHarvested_pinustro,CohortsHarvested_pinusylv,CohortsHarvested_popubals,CohortsHarvested_popugran,CohortsHarvested_poputrem,CohortsHarvested_prunsero,CohortsHarvested_queralba,CohortsHarvested_quercocc,CohortsHarvested_querelli,CohortsHarvested_querfalc,CohortsHarvested_quermacr,CohortsHarvested_querrubr,CohortsHarvested_quervelu,CohortsHarvested_thujocci,CohortsHarvested_tiliamer,CohortsHarvested_tsugcana,CohortsHarvested_ulmuamer,BiomassHarvestedMg_abiebals,BiomassHarvestedMg_acerrubr,BiomassHarvestedMg_acersacc,BiomassHarvestedMg_betualle,BiomassHarvestedMg_betupapy,BiomassHarvestedMg_carycord,BiomassHarvestedMg_caryovat,BiomassHarvestedMg_castdent,BiomassHarvestedMg_fagugran,BiomassHarvestedMg_fraxamer,BiomassHarvestedMg_fraxnigr,BiomassHarvestedMg_fraxpenn,BiomassHarvestedMg_piceglau,BiomassHarvestedMg_picemari,BiomassHarvestedMg_pinubank,BiomassHarvestedMg_pinuresi,BiomassHarvestedMg_pinustro,BiomassHarvestedMg_pinusylv,BiomassHarvestedMg_popubals,BiomassHarvestedMg_popugran,BiomassHarvestedMg_poputrem,BiomassHarvestedMg_prunsero,BiomassHarvestedMg_queralba,BiomassHarvestedMg_quercocc,BiomassHarvestedMg_querelli,BiomassHarvestedMg_querfalc,BiomassHarvestedMg_quermacr,BiomassHarvestedMg_querrubr,BiomassHarvestedMg_quervelu,BiomassHarvestedMg_thujocci,BiomassHarvestedMg_tiliamer,BiomassHarvestedMg_tsugcana,BiomassHarvestedMg_ulmuamer,
5, 1, MM2-1_DO1, 125, 2125, 0, 48513.8604731083, 0, 0, 0, 0, 0, 0, 0, 0, 250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1000, 875, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1601.68709048033, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13487.075176847, 9168.16796922683, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5, 1, MM14-1_DO1, 750, 12782, 0, 318457.407299948, 34, 1016, 0, 0, 304, 0, 0, 0, 0, 0, 0, 0, 3, 6, 6364, 919, 719, 1, 0, 437, 198, 228, 579, 0, 382, 0, 0, 101, 1491, 0, 0, 0, 0, 515.210389244556, 5659.51081330776, 0, 0, 3903.60944327116, 0, 0, 0, 0, 0, 0, 0, 152.298699462414, 61.157414996624, 80222.2157987715, 13680.6495863318, 6450.00014404058, 7.0372363448143, 0, 3504.0799276948, 3036.11379276514, 3697.02925314903, 7472.89975016117, 0, 11468.8199899554, 0, 0, 1080.62914094925, 18317.4422695279, 0, 0, 0, 0, 
5, 1, MM16-1_DO1, 688, 277, 12570, 74392.4401611209, 0, 123, 7569, 0, 82, 0, 0, 0, 307, 283, 0, 29, 0, 0, 0, 0, 0, 0, 0, 24, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 4355, 0, 19, 0, 275.157957482338, 57321.2743006586, 0, 1258.7579256773, 0, 0, 0, 824.203540384769, 222.691226911545, 0, 13.1066006422043, 0, 0, 0, 0, 0, 0, 0, 184.016673016548, 0, 701.243462359905, 0, 0, 0, 0, 0, 0, 0, 0, 11687.4582526684, 0, 86.7455322504044, 
5, 1, MM15-1_DO1, 28889, 0, 271443, 660686.518316669, 0, 0, 158794, 0, 0, 0, 0, 0, 32111, 15930, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9928, 0, 0, 0, 0, 0, 14161, 0, 0, 40519, 0, 0, 0, 0, 408237.460387039, 0, 0, 0, 0, 0, 93361.683762586, 9594.33413010834, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32295.8939864516, 0, 0, 0, 0, 0, 70061.9588169336, 0, 0, 47135.1872335553, 0, 0, 
5, 1, MM18-1_DO1, 313, 6365, 0, 137359.110474396, 7, 720, 14, 4, 2, 0, 0, 0, 9, 18, 0, 4, 1, 0, 7, 258, 251, 0, 0, 254, 22, 5, 1452, 0, 200, 0, 0, 3033, 43, 0, 6, 53, 2, 107.332977259159, 3272.85932836533, 65.9362832307816, 33.9360136628151, 23.6120451569557, 0, 0, 0, 57.7900268316269, 71.2797434926033, 0, 11.3724965572357, 9.11412844657898, 0, 38.0091418623924, 1284.3057149291, 1852.52726277113, 0, 0, 1564.66598466635, 141.470630931854, 79.1235398769379, 19609.1078448176, 0, 2161.31877390146, 0, 0, 37509.6392299175, 344.945564901829, 0, 31.5364975452423, 398.218855512142, 11.4531525611877, 
5, 1, MM22-1_DO1, 6563, 0, 58502, 183916.659571648, 0, 0, 0, 0, 0, 0, 0, 0, 651, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19876, 0, 3354, 0, 0, 28629, 5992, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 913.449408757687, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49725.3539804697, 0, 11341.2020277023, 0, 0, 102668.620386612, 19268.0337681055, 0, 0, 0, 0, 
5, 1, MM19-1_DO1, 626, 2816, 8134, 129542.333851385, 5, 1177, 40, 2, 3, 0, 0, 0, 29, 21, 0, 14, 5, 0, 78, 331, 591, 1, 0, 401, 97, 5, 2999, 0, 440, 0, 0, 4656, 39, 0, 13, 0, 3, 65.3313632011414, 5270.38592224121, 521.219261538982, 16.2521847963333, 33.0084696173668, 0, 0, 0, 180.729940855503, 97.1098287582398, 0, 43.1307981133461, 53.9790306448936, 0, 458.105938446522, 1854.62431887388, 4828.31036458015, 14.2357846975327, 0, 2339.87100265026, 781.1130702734, 69.0012113809586, 34904.9745662928, 0, 4430.87790510654, 0, 0, 56304.3634028315, 416.003504383564, 0, 99.4690168738365, 0, 17.1797288417816, 
5, 1, MM20-1_DO1, 2625, 13336, 29012, 514236.024388814, 3, 4749, 85, 10, 18, 0, 0, 0, 9, 40, 4, 12, 83, 2, 1008, 1534, 4155, 0, 0, 1255, 241, 112, 11292, 0, 2635, 0, 0, 9011, 6065, 2, 15, 0, 8, 71.8846635222435, 23109.0743163109, 509.584632968903, 107.070845246315, 171.333516395092, 0, 0, 0, 43.9373581528664, 229.184035229683, 15.324640750885, 73.9413916230202, 931.980125665664, 35.3273297309876, 5399.21372455358, 10599.0458073378, 48575.5219881296, 0, 0, 6496.5386583209, 1414.90794932842, 1317.61664456129, 105963.700444067, 0, 26780.4549602032, 0, 0, 116151.400631249, 66766.9392514825, 21.9384330749512, 128.243046283722, 0, 57.0641227960587, 
5, 1, MM21-1_DO1, 8940, 0, 17503, 28447.3121018768, 61, 3007, 7, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 0, 83, 0, 0, 0, 0, 3208, 480, 0, 0, 0, 2451, 0, 0, 6084, 2088, 0, 29, 0, 0, 33.492405641079, 682.934549462796, 31.3953495383263, 0, 4.33526021242142, 0, 0, 0, 0, 0, 0, 0, 6.61379232406616, 0, 40.4288219809532, 0, 0, 0, 0, 878.384211039545, 126.266974186897, 0, 0, 0, 9672.79225795268, 0, 0, 8097.90312478538, 8857.15841798782, 0, 15.6069367647171, 0, 0, 
5, 1, MM4-1_DO1, 250, 4479, 1947, 98120.6097997666, 321, 780, 2, 1, 1946, 0, 0, 0, 0, 0, 742, 57, 61, 72, 0, 56, 248, 0, 56, 224, 102, 0, 0, 0, 2, 0, 0, 56, 0, 1018, 680, 0, 2, 3322.46277079582, 3303.89172588587, 116.72940171957, 8.32773240804672, 28666.3738086104, 0, 0, 0, 0, 0, 1612.19253499508, 127.900258266926, 2408.50926201344, 1688.39229472875, 0, 3717.89899417162, 1813.14696884155, 0, 766.151381540299, 1502.25840160847, 469.196138989925, 0, 0, 0, 27.423041343689, 0, 0, 528.861417913437, 0, 6584.89731065035, 6732.39697787762, 0, 0.645248031616211, 
