Time,InitRow,InitColumn,TotalSites,DamagedSites,CohortsKilled,MeanSeverity,
5, 89, 1116, 23, 0, 0, 0, 
5, 100, 998, 1, 0, 0, 0, 
5, 106, 1032, 35, 35, 189, 4, 
5, 123, 1090, 2, 0, 0, 0, 
5, 127, 1118, 6, 6, 33, 4, 
5, 140, 1126, 2, 0, 0, 0, 
5, 188, 993, 6, 0, 0, 0, 
5, 204, 1370, 9, 8, 17, 3, 
5, 205, 1354, 27, 26, 17, 2, 
5, 212, 941, 2, 0, 0, 0, 
5, 233, 956, 6, 0, 0, 0, 
5, 256, 1411, 4, 0, 0, 0, 
5, 275, 1267, 18, 7, 4, 3, 
5, 289, 1083, 10, 0, 0, 0, 
5, 299, 1072, 20, 19, 7, 2, 
5, 308, 1530, 0, 0, 0, 0, 
5, 330, 1150, 9, 7, 64, 4, 
5, 350, 1288, 0, 0, 0, 0, 
5, 367, 1502, 25, 2, 5, 3, 
5, 400, 1033, 15, 1, 2, 2, 
5, 402, 1629, 0, 0, 0, 0, 
5, 407, 1311, 6, 6, 62, 4, 
5, 421, 1249, 1, 0, 0, 0, 
5, 426, 1121, 12, 4, 3, 1, 
5, 427, 1413, 19, 18, 15, 1.78, 
5, 429, 868, 2, 0, 0, 0, 
5, 431, 1187, 15, 0, 0, 0, 
5, 432, 894, 1, 0, 0, 0, 
5, 454, 1187, 0, 0, 0, 0, 
5, 455, 733, 24, 24, 289, 5, 
5, 473, 1202, 25, 0, 0, 0, 
5, 481, 1340, 131, 126, 70, 1.97, 
5, 486, 1698, 6, 0, 0, 0, 
5, 489, 1709, 19, 0, 0, 0, 
5, 495, 758, 39, 0, 0, 0, 
5, 509, 1223, 21, 7, 6, 1, 
5, 509, 1401, 52, 19, 2, 1, 
5, 510, 1781, 37, 36, 33, 3, 
5, 521, 1778, 14, 0, 0, 0, 
5, 525, 1468, 7, 0, 0, 0, 
5, 529, 1439, 18, 18, 202, 5, 
5, 531, 727, 17, 0, 0, 0, 
5, 535, 1820, 9, 0, 0, 0, 
5, 542, 1812, 3, 0, 0, 0, 
5, 545, 1270, 2, 0, 0, 0, 
5, 580, 1664, 12, 0, 0, 0, 
5, 583, 1439, 12, 0, 0, 0, 
5, 593, 989, 33, 0, 0, 0, 
5, 615, 1054, 18, 17, 2, 1, 
5, 617, 1645, 8, 0, 0, 0, 
5, 648, 1292, 13, 13, 195, 5, 
5, 652, 1019, 7, 1, 14, 5, 
5, 653, 1296, 8, 0, 0, 0, 
5, 660, 1759, 13, 6, 11, 3, 
5, 661, 796, 2, 2, 20, 4, 
5, 661, 913, 10, 7, 1, 2, 
5, 662, 1456, 0, 0, 0, 0, 
5, 664, 1072, 23, 23, 5, 2, 
5, 686, 1463, 28, 26, 176, 4, 
5, 704, 1292, 13, 0, 0, 0, 
5, 709, 1023, 0, 0, 0, 0, 
5, 710, 1252, 2, 1, 1, 1, 
5, 710, 1573, 2, 0, 0, 0, 
5, 715, 509, 14, 0, 0, 0, 
5, 721, 1618, 6, 0, 0, 0, 
5, 727, 1417, 0, 0, 0, 0, 
