Time,ROS,AgentName,CohortsKilled,DamagedSites,MeanSeverity,TotalBiomassKilled,
1, 3, AsianLonghornedBeetle, 501, 72, 2.79, 384254, 
6, 2, AsianLonghornedBeetle, 267, 43, 2.42, 145731, 
9, 3, AsianLonghornedBeetle, 345, 50, 2.78, 213208, 
13, 3, AsianLonghornedBeetle, 285, 43, 2.65, 190189, 
17, 2, AsianLonghornedBeetle, 150, 19, 1.79, 99452, 
20, 1, AsianLonghornedBeetle, 51, 6, 1.5, 27915, 
26, 2, AsianLonghornedBeetle, 251, 35, 2.09, 164356, 
31, 2, AsianLonghornedBeetle, 294, 23, 2.26, 141619, 
37, 2, AsianLonghornedBeetle, 181, 22, 1.95, 80776, 
42, 2, AsianLonghornedBeetle, 219, 27, 1.78, 86011, 
47, 2, AsianLonghornedBeetle, 258, 37, 1.92, 93210, 
52, 1, AsianLonghornedBeetle, 113, 20, 1.1, 38909, 
57, 2, AsianLonghornedBeetle, 407, 50, 2, 113429, 
60, 3, AsianLonghornedBeetle, 321, 39, 1.95, 99335, 
65, 1, AsianLonghornedBeetle, 145, 23, 1.09, 60361, 
71, 2, AsianLonghornedBeetle, 792, 70, 2.29, 256712, 
