Time,InitRow,InitColumn,TotalSites,DamagedSites,CohortsKilled,MeanSeverity,
5, 116, 1154, 7, 6, 12, 3, 
5, 119, 1093, 30, 30, 40, 3, 
5, 181, 1316, 23, 23, 218, 5, 
5, 225, 904, 15, 0, 0, 0, 
5, 238, 1021, 5, 0, 0, 0, 
5, 241, 1329, 4, 1, 1, 1, 
5, 257, 1315, 39, 0, 0, 0, 
5, 290, 1240, 6, 4, 8, 3, 
5, 298, 912, 18, 6, 1, 1, 
5, 298, 993, 4, 0, 0, 0, 
5, 305, 1148, 23, 0, 0, 0, 
5, 359, 1085, 15, 0, 0, 0, 
5, 371, 1569, 31, 30, 16, 2, 
5, 396, 833, 30, 30, 221, 4, 
5, 400, 1160, 17, 1, 3, 3, 
5, 407, 1294, 22, 0, 0, 0, 
5, 410, 1590, 6, 6, 34, 4, 
5, 447, 1714, 5, 4, 2, 2, 
5, 468, 1173, 4, 0, 0, 0, 
5, 480, 1433, 25, 25, 345, 5, 
5, 483, 1765, 16, 7, 2, 2, 
5, 488, 1271, 3, 0, 0, 0, 
5, 494, 762, 37, 32, 10, 2, 
5, 505, 1788, 40, 0, 0, 0, 
5, 517, 1088, 3, 0, 0, 0, 
5, 521, 1033, 2, 0, 0, 0, 
5, 530, 1506, 73, 68, 12, 1, 
5, 540, 1346, 0, 0, 0, 0, 
5, 560, 1712, 3, 0, 0, 0, 
5, 563, 1142, 15, 10, 4, 3, 
5, 568, 1129, 4, 1, 1, 2, 
5, 586, 774, 8, 0, 0, 0, 
5, 587, 1804, 24, 23, 174, 4, 
5, 598, 601, 6, 1, 9, 3, 
5, 605, 1133, 39, 0, 0, 0, 
5, 608, 1485, 5, 0, 0, 0, 
5, 623, 1372, 16, 16, 102, 4, 
5, 625, 1691, 1, 0, 0, 0, 
5, 644, 1479, 1, 0, 0, 0, 
5, 645, 772, 5, 0, 0, 0, 
5, 645, 1526, 1, 0, 0, 0, 
5, 655, 563, 14, 2, 1, 1, 
5, 675, 1245, 4, 4, 2, 1, 
5, 677, 1686, 1, 0, 0, 0, 
5, 685, 804, 38, 30, 29, 2, 
5, 686, 1278, 17, 12, 3, 1.92, 
5, 694, 1238, 15, 13, 6, 1.54, 
5, 727, 467, 3, 3, 3, 3, 
5, 732, 363, 34, 33, 216, 4, 
5, 755, 1215, 0, 0, 0, 0, 
5, 756, 1344, 3, 0, 0, 0, 
5, 768, 786, 11, 0, 0, 0, 
5, 771, 1022, 10, 9, 13, 3, 
5, 773, 1409, 27, 0, 0, 0, 
5, 774, 1617, 21, 21, 255, 5, 
5, 777, 1059, 0, 0, 0, 0, 
5, 784, 890, 28, 0, 0, 0, 
5, 785, 1029, 25, 25, 8, 2.88, 
5, 791, 1416, 18, 0, 0, 0, 
5, 792, 349, 36, 29, 3, 1, 
5, 793, 883, 1, 0, 0, 0, 
5, 804, 387, 55, 55, 31, 3, 
5, 806, 760, 4, 0, 0, 0, 
5, 809, 1031, 40, 20, 5, 1, 
5, 812, 1359, 3, 1, 3, 3, 
5, 820, 477, 19, 17, 3, 1, 
5, 824, 448, 0, 0, 0, 0, 
5, 826, 326, 0, 0, 0, 0, 
5, 829, 666, 1, 1, 8, 5, 
5, 830, 789, 0, 0, 0, 0, 
5, 830, 1543, 5, 2, 4, 2, 
5, 831, 970, 22, 0, 0, 0, 
5, 840, 1180, 31, 30, 11, 2, 
5, 841, 1771, 9, 0, 0, 0, 
5, 846, 1012, 15, 14, 77, 4, 
5, 849, 1538, 8, 0, 0, 0, 
5, 851, 1633, 7, 2, 1, 1, 
5, 861, 1031, 2, 0, 0, 0, 
5, 867, 387, 23, 23, 137, 4, 
5, 868, 1202, 7, 6, 6, 2.5, 
5, 875, 895, 11, 0, 0, 0, 
5, 889, 984, 31, 0, 0, 0, 
5, 892, 1691, 0, 0, 0, 0, 
5, 893, 1841, 26, 0, 0, 0, 
5, 897, 899, 15, 5, 5, 1.6, 
5, 909, 1049, 6, 0, 0, 0, 
5, 910, 1662, 26, 25, 19, 2, 
5, 913, 1715, 5, 2, 5, 2, 
5, 915, 1485, 3, 0, 0, 0, 
5, 923, 1440, 2, 1, 2, 1, 
5, 924, 1233, 3, 0, 0, 0, 
5, 925, 1382, 44, 0, 0, 0, 
5, 933, 1105, 11, 0, 0, 0, 
5, 943, 930, 3, 0, 0, 0, 
5, 953, 1465, 3, 0, 0, 0, 
5, 956, 1432, 17, 0, 0, 0, 
5, 966, 444, 24, 24, 21, 3, 
5, 976, 723, 23, 23, 249, 5, 
5, 978, 1672, 13, 13, 8, 1, 
5, 983, 1420, 10, 0, 0, 0, 
5, 988, 1362, 9, 0, 0, 0, 
5, 994, 298, 30, 0, 0, 0, 
5, 1001, 302, 23, 0, 0, 0, 
5, 1001, 408, 39, 38, 35, 3, 
