Time,InitRow,InitColumn,TotalSites,DamagedSites,CohortsKilled,MeanSeverity,
5, 81, 1095, 36, 36, 23, 1.53, 
5, 89, 1020, 23, 0, 0, 0, 
5, 144, 967, 61, 50, 16, 2, 
5, 188, 1365, 6, 4, 4, 1, 
5, 191, 999, 21, 0, 0, 0, 
5, 196, 1208, 8, 1, 22, 4, 
5, 199, 1090, 31, 0, 0, 0, 
5, 204, 904, 12, 12, 21, 3, 
5, 205, 967, 10, 9, 4, 3, 
5, 213, 953, 19, 0, 0, 0, 
5, 265, 1020, 7, 6, 1, 3, 
5, 327, 1211, 7, 0, 0, 0, 
5, 353, 1173, 5, 5, 72, 4, 
5, 354, 1314, 17, 17, 12, 3, 
5, 360, 1089, 63, 63, 25, 2, 
5, 387, 1455, 6, 6, 1, 1, 
5, 391, 1543, 18, 0, 0, 0, 
5, 394, 871, 3, 0, 0, 0, 
5, 399, 1062, 40, 39, 11, 1.69, 
5, 399, 1106, 5, 5, 38, 4, 
5, 437, 1453, 4, 0, 0, 0, 
5, 438, 1253, 49, 0, 0, 0, 
5, 438, 1471, 58, 0, 0, 0, 
5, 443, 952, 56, 56, 91, 3, 
5, 443, 1086, 6, 0, 0, 0, 
5, 446, 1094, 23, 0, 0, 0, 
5, 447, 1625, 6, 5, 42, 4, 
5, 454, 1731, 25, 0, 0, 0, 
5, 458, 1002, 34, 0, 0, 0, 
5, 472, 1461, 1, 0, 0, 0, 
5, 473, 1321, 15, 0, 0, 0, 
5, 475, 1059, 19, 18, 3, 1, 
5, 493, 1805, 30, 4, 58, 5, 
5, 500, 989, 2, 0, 0, 0, 
5, 503, 1801, 60, 0, 0, 0, 
5, 509, 1343, 31, 0, 0, 0, 
5, 511, 899, 4, 0, 0, 0, 
5, 513, 733, 3, 0, 0, 0, 
5, 518, 833, 7, 0, 0, 0, 
5, 538, 1077, 8, 0, 0, 0, 
5, 542, 1443, 0, 0, 0, 0, 
5, 550, 1211, 11, 11, 3, 2, 
5, 579, 969, 15, 0, 0, 0, 
5, 585, 1259, 9, 9, 2, 2, 
5, 588, 1150, 0, 0, 0, 0, 
5, 594, 962, 12, 9, 8, 1.67, 
5, 600, 1388, 10, 0, 0, 0, 
5, 615, 879, 4, 3, 2, 1, 
5, 620, 846, 6, 0, 0, 0, 
5, 654, 907, 3, 3, 1, 1, 
5, 662, 1273, 5, 0, 0, 0, 
5, 665, 1456, 9, 6, 4, 2, 
5, 668, 1134, 26, 0, 0, 0, 
5, 669, 1403, 1, 1, 1, 1, 
5, 682, 1448, 41, 0, 0, 0, 
5, 687, 1505, 1, 0, 0, 0, 
5, 699, 1201, 5, 0, 0, 0, 
5, 715, 1087, 4, 0, 0, 0, 
5, 716, 1748, 0, 0, 0, 0, 
5, 751, 983, 5, 0, 0, 0, 
5, 753, 855, 13, 13, 4, 3, 
5, 779, 1819, 31, 2, 17, 3, 
5, 796, 1540, 16, 0, 0, 0, 
5, 800, 1386, 4, 4, 71, 5, 
5, 802, 954, 3, 0, 0, 0, 
5, 812, 1195, 16, 7, 3, 1.71, 
5, 814, 1659, 16, 0, 0, 0, 
5, 820, 1020, 15, 15, 163, 5, 
5, 820, 1317, 7, 0, 0, 0, 
5, 822, 872, 4, 4, 76, 5, 
5, 844, 1247, 15, 15, 6, 2, 
5, 846, 1335, 27, 22, 28, 3, 
5, 865, 1448, 3, 0, 0, 0, 
5, 870, 728, 1, 0, 0, 0, 
5, 874, 868, 3, 3, 1, 3, 
5, 875, 686, 16, 0, 0, 0, 
5, 875, 1543, 23, 13, 6, 2, 
5, 877, 351, 21, 14, 2, 1.36, 
5, 881, 391, 21, 0, 0, 0, 
5, 885, 743, 26, 22, 9, 2, 
5, 892, 501, 2, 0, 0, 0, 
5, 904, 872, 11, 0, 0, 0, 
5, 911, 1461, 6, 5, 10, 3, 
5, 927, 1277, 21, 17, 16, 3, 
5, 931, 1212, 32, 0, 0, 0, 
5, 932, 1871, 5, 0, 0, 0, 
5, 934, 1065, 3, 1, 2, 2, 
5, 938, 1852, 0, 0, 0, 0, 
5, 942, 977, 6, 0, 0, 0, 
5, 943, 984, 3, 0, 0, 0, 
5, 944, 304, 0, 0, 0, 0, 
5, 949, 1325, 7, 0, 0, 0, 
5, 951, 458, 40, 34, 13, 2, 
5, 954, 325, 1, 1, 3, 4, 
5, 955, 925, 27, 14, 2, 2, 
5, 960, 672, 0, 0, 0, 0, 
5, 971, 326, 62, 61, 70, 3, 
5, 974, 1357, 11, 0, 0, 0, 
5, 975, 238, 24, 7, 61, 4, 
5, 976, 721, 20, 0, 0, 0, 
5, 979, 328, 0, 0, 0, 0, 
5, 980, 1726, 10, 0, 0, 0, 
5, 982, 1484, 13, 10, 9, 2, 
5, 990, 1362, 11, 0, 0, 0, 
5, 995, 1523, 16, 13, 3, 1, 
5, 1002, 532, 12, 3, 5, 3, 
5, 1003, 543, 18, 10, 1, 1, 
5, 1003, 1845, 19, 19, 37, 3, 
5, 1006, 1332, 3, 3, 15, 4, 
5, 1022, 1682, 11, 0, 0, 0, 
5, 1024, 565, 5, 0, 0, 0, 
5, 1024, 975, 47, 0, 0, 0, 
5, 1024, 1032, 5, 0, 0, 0, 
5, 1028, 1166, 19, 0, 0, 0, 
5, 1038, 1271, 1, 0, 0, 0, 
5, 1039, 1202, 3, 0, 0, 0, 
5, 1041, 796, 3, 0, 0, 0, 
5, 1051, 1532, 10, 8, 4, 3, 
5, 1057, 786, 52, 0, 0, 0, 
5, 1063, 346, 44, 41, 7, 1, 
5, 1064, 709, 37, 32, 43, 3, 
5, 1068, 1769, 6, 5, 33, 4, 
5, 1076, 1692, 6, 0, 0, 0, 
5, 1077, 1018, 7, 5, 3, 1, 
5, 1081, 1278, 4, 0, 0, 0, 
5, 1083, 997, 3, 0, 0, 0, 
5, 1086, 1254, 9, 5, 3, 2, 
5, 1093, 852, 10, 0, 0, 0, 
5, 1094, 1620, 19, 15, 1, 3, 
5, 1097, 713, 22, 0, 0, 0, 
5, 1101, 915, 21, 13, 3, 1, 
5, 1104, 637, 31, 1, 9, 3, 
5, 1106, 369, 15, 0, 0, 0, 
5, 1118, 1231, 7, 2, 2, 1, 
5, 1124, 1731, 32, 0, 0, 0, 
5, 1131, 920, 2, 1, 6, 3, 
5, 1141, 841, 17, 0, 0, 0, 
5, 1144, 712, 11, 11, 25, 3, 
5, 1153, 1655, 46, 0, 0, 0, 
5, 1163, 851, 26, 25, 13, 2, 
5, 1173, 938, 9, 0, 0, 0, 
5, 1174, 906, 4, 0, 0, 0, 
5, 1174, 1619, 2, 0, 0, 0, 
5, 1183, 965, 3, 3, 4, 3, 
5, 1192, 1505, 33, 0, 0, 0, 
5, 1231, 1688, 8, 8, 7, 1.13, 
5, 1241, 1777, 2, 2, 14, 4, 
5, 1242, 420, 3, 3, 14, 4, 
5, 1247, 976, 4, 4, 11, 3, 
5, 1247, 1157, 40, 40, 27, 2.88, 
5, 1249, 1553, 14, 0, 0, 0, 
5, 1250, 315, 40, 38, 58, 3, 
5, 1254, 982, 30, 0, 0, 0, 
5, 1259, 1137, 14, 0, 0, 0, 
5, 1262, 468, 4, 0, 0, 0, 
5, 1266, 833, 5, 1, 5, 3, 
5, 1270, 1267, 10, 0, 0, 0, 
5, 1276, 1695, 44, 0, 0, 0, 
5, 1282, 1195, 7, 0, 0, 0, 
5, 1283, 231, 8, 0, 0, 0, 
5, 1284, 589, 15, 0, 0, 0, 
5, 1286, 1208, 13, 13, 10, 3, 
5, 1287, 442, 14, 0, 0, 0, 
5, 1301, 122, 13, 7, 4, 2, 
5, 1311, 1017, 13, 13, 30, 3, 
5, 1313, 464, 134, 0, 0, 0, 
5, 1331, 1628, 12, 12, 104, 4, 
5, 1341, 1141, 13, 9, 1, 1, 
5, 1343, 344, 16, 0, 0, 0, 
5, 1343, 1044, 38, 0, 0, 0, 
5, 1354, 199, 21, 0, 0, 0, 
5, 1354, 262, 2, 2, 5, 3, 
5, 1354, 602, 29, 0, 0, 0, 
5, 1356, 1435, 8, 8, 2, 2, 
5, 1357, 953, 41, 41, 527, 5, 
5, 1367, 851, 11, 4, 2, 1.5, 
5, 1376, 1356, 0, 0, 0, 0, 
5, 1377, 87, 5, 0, 0, 0, 
5, 1379, 98, 11, 11, 118, 5, 
5, 1381, 922, 8, 0, 0, 0, 
5, 1387, 1024, 6, 0, 0, 0, 
5, 1390, 439, 12, 0, 0, 0, 
5, 1421, 110, 13, 0, 0, 0, 
5, 1422, 101, 1, 0, 0, 0, 
5, 1424, 1660, 1, 1, 1, 3, 
5, 1430, 1566, 3, 0, 0, 0, 
5, 1441, 943, 11, 10, 22, 3, 
5, 1482, 876, 15, 15, 33, 3, 
5, 1493, 550, 15, 15, 30, 3, 
5, 1498, 1248, 3, 0, 0, 0, 
5, 1502, 497, 1, 0, 0, 0, 
5, 1507, 848, 37, 0, 0, 0, 
5, 1512, 1479, 9, 5, 4, 3, 
5, 1515, 549, 37, 16, 8, 1, 
5, 1533, 1427, 2, 0, 0, 0, 
5, 1557, 231, 23, 0, 0, 0, 
5, 1581, 688, 7, 0, 0, 0, 
5, 1586, 396, 26, 18, 4, 1, 
5, 1631, 417, 21, 21, 56, 3, 
5, 1634, 325, 18, 16, 4, 2, 
5, 1636, 501, 68, 0, 0, 0, 
5, 1638, 434, 0, 0, 0, 0, 
5, 1653, 137, 13, 8, 15, 3, 
5, 1655, 13, 8, 0, 0, 0, 
5, 1657, 448, 20, 0, 0, 0, 
5, 1663, 634, 55, 5, 3, 2, 
5, 1675, 428, 10, 10, 7, 1, 
5, 1676, 460, 58, 56, 113, 3, 
5, 1684, 313, 21, 3, 5, 3, 
5, 1688, 493, 10, 0, 0, 0, 
5, 1699, 427, 1, 0, 0, 0, 
5, 1701, 422, 16, 10, 9, 1.8, 
5, 1713, 519, 17, 0, 0, 0, 
5, 1715, 396, 10, 9, 67, 4, 
5, 1779, 361, 32, 20, 6, 1, 
5, 1797, 207, 1, 0, 0, 0, 
5, 1798, 107, 0, 0, 0, 0, 
5, 1806, 703, 24, 0, 0, 0, 
5, 1814, 67, 11, 0, 0, 0, 
5, 1820, 594, 6, 0, 0, 0, 
5, 1821, 122, 2, 0, 0, 0, 
5, 1845, 529, 7, 0, 0, 0, 
5, 1849, 148, 0, 0, 0, 0, 
5, 1862, 447, 12, 11, 1, 3, 
5, 1864, 232, 3, 2, 19, 4, 
5, 1872, 470, 10, 9, 8, 3, 
5, 1875, 559, 14, 11, 2, 1.18, 
5, 1899, 591, 40, 0, 0, 0, 
5, 1902, 417, 5, 0, 0, 0, 
5, 1913, 286, 0, 0, 0, 0, 
5, 1915, 331, 77, 0, 0, 0, 
5, 1937, 421, 10, 0, 0, 0, 
10, 87, 1049, 54, 54, 784, 5, 
10, 93, 1067, 19, 0, 0, 0, 
10, 121, 1157, 3, 3, 3, 2, 
10, 152, 991, 2, 0, 0, 0, 
10, 195, 1180, 44, 41, 15, 1.95, 
10, 211, 1357, 0, 0, 0, 0, 
10, 223, 943, 3, 0, 0, 0, 
10, 239, 1382, 4, 0, 0, 0, 
10, 262, 1382, 3, 0, 0, 0, 
10, 284, 1242, 2, 0, 0, 0, 
