curr,pcm,gfdl
2713761.1026000003,2714187.3467,2707124.3052
2466497.2419999996,2460261.6541,2450063.9211000004
2569281.1932,2445389.8692,2525590.6039000005
2725174.6671,2625137.6816000002,2613929.7515
3111538.2983,3062708.6481999997,2964112.4477000004
3044362.8719,3048888.006,2806590.3496
3107358.9517,3062838.4637,2871846.0886000004
3049043.8054,3041727.363,2708096.2599000004
3126162.5448,3149148.3216999997,2663031.4821
3292254.0705,3334012.3405000004,2641832.4955
3379026.2750999997,3250275.9044999997,2677581.9164
3578657.8475,3648914.2403999995,2819266.6714
3832563.9122,3737244.9780999995,2817009.1273
3960358.3983,3920817.9952999996,2767779.2543
