Time,ManagementArea,Prescription,HarvestedSites,TotalCohortsCompleteHarvest,TotalCohortsPartialHarvest,TotalBiomassHarvested,CohortsHarvested_abiebals,CohortsHarvested_acerrubr,CohortsHarvested_acersacc,CohortsHarvested_betualle,CohortsHarvested_betupapy,CohortsHarvested_carycord,CohortsHarvested_caryovat,CohortsHarvested_castdent,CohortsHarvested_fagugran,CohortsHarvested_fraxamer,CohortsHarvested_fraxnigr,CohortsHarvested_fraxpenn,CohortsHarvested_piceglau,CohortsHarvested_picemari,CohortsHarvested_pinubank,CohortsHarvested_pinuresi,CohortsHarvested_pinustro,CohortsHarvested_pinusylv,CohortsHarvested_popubals,CohortsHarvested_popugran,CohortsHarvested_poputrem,CohortsHarvested_prunsero,CohortsHarvested_queralba,CohortsHarvested_quercocc,CohortsHarvested_querelli,CohortsHarvested_querfalc,CohortsHarvested_quermacr,CohortsHarvested_querrubr,CohortsHarvested_quervelu,CohortsHarvested_thujocci,CohortsHarvested_tiliamer,CohortsHarvested_tsugcana,CohortsHarvested_ulmuamer,BiomassHarvestedMg_abiebals,BiomassHarvestedMg_acerrubr,BiomassHarvestedMg_acersacc,BiomassHarvestedMg_betualle,BiomassHarvestedMg_betupapy,BiomassHarvestedMg_carycord,BiomassHarvestedMg_caryovat,BiomassHarvestedMg_castdent,BiomassHarvestedMg_fagugran,BiomassHarvestedMg_fraxamer,BiomassHarvestedMg_fraxnigr,BiomassHarvestedMg_fraxpenn,BiomassHarvestedMg_piceglau,BiomassHarvestedMg_picemari,BiomassHarvestedMg_pinubank,BiomassHarvestedMg_pinuresi,BiomassHarvestedMg_pinustro,BiomassHarvestedMg_pinusylv,BiomassHarvestedMg_popubals,BiomassHarvestedMg_popugran,BiomassHarvestedMg_poputrem,BiomassHarvestedMg_prunsero,BiomassHarvestedMg_queralba,BiomassHarvestedMg_quercocc,BiomassHarvestedMg_querelli,BiomassHarvestedMg_querfalc,BiomassHarvestedMg_quermacr,BiomassHarvestedMg_querrubr,BiomassHarvestedMg_quervelu,BiomassHarvestedMg_thujocci,BiomassHarvestedMg_tiliamer,BiomassHarvestedMg_tsugcana,BiomassHarvestedMg_ulmuamer,
5, 1, MM2-1_DO1, 26, 442, 0, 10006.0628662825, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 208, 182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 338.593904590607, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2793.7425008893, 1870.69502766132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5, 1, MM4-1_DO1, 52, 881, 442, 20922.8933291912, 22, 134, 1, 0, 442, 0, 0, 0, 0, 0, 158, 23, 0, 16, 0, 23, 16, 0, 3, 91, 23, 0, 0, 0, 0, 0, 0, 23, 0, 187, 160, 0, 1, 148.790163290501, 616.615150213241, 5.04100024700165, 0, 6721.42776134014, 0, 0, 0, 0, 0, 340.247352671623, 53.6564066290855, 0, 358.415117561817, 0, 1642.35788047314, 112.797421526909, 0, 30.1250174760818, 644.622947585583, 176.81812466383, 0, 0, 0, 0, 0, 0, 227.89353916645, 0, 1140.07261586189, 1602.9170945406, 0, 0.362952017784119, 
5, 1, MM5-1_DO1, 13, 211, 126, 4185.88529310226, 0, 30, 0, 0, 126, 0, 0, 0, 0, 0, 55, 2, 0, 0, 0, 2, 0, 0, 0, 8, 2, 0, 0, 0, 0, 0, 0, 2, 0, 110, 0, 0, 0, 0, 91.766368496418, 0, 0, 1935.42147083282, 0, 0, 0, 0, 0, 89.0845563650131, 4.55706422328949, 0, 0, 0, 137.337010729313, 0, 0, 0, 50.5713144779205, 11.8967605829239, 0, 0, 0, 0, 0, 0, 18.51055290699, 0, 721.508283352852, 0, 0, 0, 
5, 1, MM7-1_DO1, 26, 253, 378, 4565.59359570742, 0, 197, 10, 10, 0, 0, 0, 0, 8, 16, 148, 8, 0, 0, 0, 0, 6, 0, 0, 9, 39, 8, 0, 0, 0, 0, 0, 2, 0, 156, 7, 0, 7, 0, 539.870962452888, 57.5077308177948, 331.617160248756, 0, 0, 0, 0, 54.5839506745338, 6.27100430727005, 210.492006313801, 2.96410814523697, 0, 0, 0, 0, 128.202718281746, 0, 0, 0.362952017784119, 182.363224935532, 321.091551733017, 0, 0, 0, 0, 0, 41.0942340135574, 0, 1055.24266370535, 50.7931184887886, 0, 6.7146123290062, 
5, 1, MM8-1_DO1, 65, 612, 305, 9167.13960517645, 0, 217, 12, 12, 1, 0, 0, 0, 7, 14, 50, 0, 0, 0, 0, 0, 120, 0, 0, 28, 53, 0, 0, 0, 0, 0, 0, 40, 0, 313, 25, 0, 25, 0, 133.72765455246, 65.8152992248535, 247.392128121853, 25.7292652606964, 0, 0, 0, 44.1994901657105, 5.40395226478577, 2.52050012350082, 0, 0, 0, 0, 0, 1549.80511593819, 0, 0, 11.5338085651398, 136.974058711529, 0, 0, 0, 0, 0, 0, 536.443082284927, 0, 1853.77743083239, 166.59497616291, 0, 16.6756288170815, 
5, 1, MM9-1_DO1, 26, 0, 116, 20.6479370117187, 0, 53, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 9.05363644361496, 0, 0, 0, 0, 0, 0, 0, 0.241968011856079, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11.0095445394516, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.342788016796112, 
5, 1, MM10-1_DO1, 129, 0, 1147, 2097.37872676849, 0, 518, 0, 78, 99, 0, 0, 0, 0, 0, 345, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 837.531945037842, 0, 383.640282797813, 619.216306340694, 0, 0, 0, 0, 0, 88.761932349205, 21.9989250779152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 139.252590823174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.97674434185028, 
5, 1, MM12-1_DO1, 129, 1912, 1031, 48346.9428729296, 747, 120, 0, 0, 140, 0, 0, 0, 0, 18, 17, 0, 284, 103, 0, 0, 54, 0, 36, 0, 297, 54, 2, 0, 0, 0, 0, 0, 8, 1037, 26, 0, 0, 6197.76865568161, 557.615283322334, 0, 0, 1158.76464477777, 0, 0, 0, 0, 64.8070991754532, 5.96854429244995, 0, 10112.5691195011, 3770.82949676514, 0, 0, 404.530187821388, 0, 234.971103513241, 0, 2536.3490282774, 864.309738349914, 8.46888041496277, 0, 0, 0, 0, 0, 51.2770545125008, 6170.76905835867, 189.642429292202, 0, 0, 
5, 1, MM14-1_DO1, 154, 2576, 0, 62158.5576456785, 10, 207, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1298, 164, 142, 0, 0, 109, 19, 35, 120, 0, 97, 0, 0, 23, 283, 0, 0, 0, 0, 161.090203893185, 1167.53598520756, 0, 0, 914.961708831787, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15655.1892190814, 2579.49999039173, 1270.27157024145, 0, 0, 704.93347454071, 252.473456370831, 489.642435991764, 1584.42670563459, 0, 2820.70177021027, 0, 0, 251.808044338226, 3226.74425810576, 0, 0, 0, 0, 
5, 1, MM15-1_DO1, 5917, 0, 39579, 108073.076751423, 0, 0, 18539, 0, 0, 0, 0, 0, 4158, 2689, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1717, 0, 0, 0, 0, 0, 8094, 0, 0, 4382, 0, 0, 0, 0, 47625.8177055956, 0, 0, 0, 0, 0, 11160.12929883, 1712.58909591436, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5505.37718975545, 0, 0, 0, 0, 0, 36157.9252596855, 0, 0, 5911.23820164203, 0, 0, 
